client_idx,action_idx,action_label,state_value,logit_-20%,logit_-10%,logit_0%,logit_+10%,logit_+20%,prob_-20%,prob_-10%,prob_0%,prob_+10%,prob_+20%,logit_variance,logit_max_min_gap,internal_score,predicted_pd,monthly_interest,reward,expected_loss,rwa_cost,constraint_penalty
0,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,655.8365259760992,0.05800897873850067,22.931682263958432,-215.5650112482744,48.77559385922732,7.094631834069427,0.0
1,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,617.6554353372512,0.0629412139505268,49.2721595854838,-2319.524048369921,113.71248307006266,16.53999753746366,0.0
2,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,560.9696792271886,0.18578562221310624,68.12404802488149,-2286.422812432858,464.0705171658651,67.50116613321674,1.6446405553276562
3,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,607.3066921704232,0.04482208260100254,34.246440407379474,-235.88841939044013,56.28321529342871,8.186649497225995,0.0
4,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,641.1824693450028,0.23343517795240434,83.26210397806453,-6632.156253016472,712.6644821564066,103.66028831365915,2.835879448810109
5,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,725.3773779434998,0.13814361619729013,55.583053027011196,-1386.1420604329337,281.5429446293589,40.951701036997655,0.4535904049322532
6,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,703.4136240947587,0.052838430426866034,36.82990751638722,-308.6026704359005,71.35459855085969,10.378850698306863,0.0
7,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,650.4399086000201,0.07905299453602907,65.76078269327617,-865.8385770466981,190.6148491476737,27.72579623966163,0.0
8,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,692.7789454511459,0.0834489349365364,21.26652153904755,-301.88684262615993,65.07118098207573,9.464899051938287,0.0
9,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,673.0427055681304,0.06636261579026932,29.628724992825244,-326.9819947113937,72.09545541199512,10.486611696290197,0.0
10,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,893.0164514968264,0.022562838856644254,13.66678277686128,-31.182419884274825,11.306585307713014,1.6445942265764382,0.0
11,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,579.2783448658379,0.07346113568853391,19.369355131875928,-239.02175533559048,52.172810269878404,7.588772402891404,0.0
12,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,675.6536086158636,0.07592102515171713,46.728920160571676,-583.4974213706055,130.08260917018927,18.921106788391167,0.0
13,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,541.4566373541883,0.10294874362152565,33.53971115816366,-598.9141023917228,126.60527458926653,18.41531266752968,0.0
14,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,663.9381665910503,0.03883143181916217,17.359110233323566,-102.029053988261,24.716233867109562,3.5950885624886637,0.0
15,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,541.3671581676458,0.0686329347008477,18.66710977403331,-212.62507089398736,46.97654595974209,6.832952139598849,0.0
16,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,636.4889949064479,0.11115189512465316,28.871924774848946,-1617.4961735743414,117.66953566943248,17.11556882464472,0.0
17,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,641.3946083952573,0.03845551672988724,18.730350831226215,-96.91776602431256,26.410461724052162,3.8415217053166777,0.0
18,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,590.17459527737,0.0828281376629461,52.01182775457085,-727.0446818288816,157.96157040975797,22.976228423237522,0.0
19,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,602.39190986717,0.10017449894616946,99.34770710474442,-5346.8955706203615,364.9105819578477,53.07790283023238,0.0
20,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,768.6182570932422,0.07764282169391264,46.135137169673726,-601.9323553145322,131.3422817332699,19.10433188847562,0.0
21,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,583.8911159834802,0.07668267888590596,22.850702582121215,-289.2637520934605,64.24927990881193,9.345349804918099,0.0
22,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,663.1997575754963,0.080865550618797,91.72164518335983,-1257.9312200978538,271.9611158518585,39.55798048754305,0.0
23,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,662.1388540615442,0.08886719787171626,26.328230321784478,-402.7445312118644,85.78958863266519,12.478485619296753,0.0
24,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,547.6976126782147,0.3008239965622325,71.69906614090387,-3971.525564471554,790.8559862971734,115.0335980068616,4.520599914055813
25,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,583.2536186680418,0.13222121897806552,38.95118815354717,-916.8672592361869,188.83969787121973,27.467592417631963,0.30553047445163806
26,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,761.7517659548,0.18135274489212982,51.163730145911444,-1675.720748048914,340.21837303231257,49.4863088047,1.5338186223032457
27,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,525.3517822686754,0.04886459370663918,7.786616800833074,-56.71255373137107,13.951295098473292,2.0292792870506604,0.0
28,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,699.0940873075824,0.0546716958425777,23.609560723392928,-195.16303261496398,47.32840650436093,6.8841318551797706,0.0
29,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,778.5983331766732,0.23258542049121622,104.56998615958679,-4466.071248617529,891.7866540618992,129.7144224090035,2.8146355122804056
30,4,+20%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,658.2875254765704,0.11478799343246349,66.29133740094113,-1319.419649315423,279.0131520809766,40.583731211778414,0.0
