policy,reference,scenario,metric,difference,lower,upper,fraction_customers_positive,information_set
AlwaysDecrease20,Static,baseline,cumulative_reward,3225.122071348,2853.6890136405127,3680.5310213825346,0.82,OBSERVABLE_ONLY
AlwaysDecrease20,Static,baseline,net_economic_value,599.9119454602276,403.9407328524644,802.5435175348488,0.6233333333333333,OBSERVABLE_ONLY
AlwaysDecrease20,Static,baseline,credit_loss,-1131.368009807078,-1320.5128758908818,-946.2123869768842,0.11,OBSERVABLE_ONLY
AlwaysDecrease20,Static,baseline,defaulted,0.07333333333333333,0.03666666666666667,0.11333333333333333,0.09666666666666666,OBSERVABLE_ONLY
MyopicEconomic,Static,baseline,cumulative_reward,68.86503095589234,-224.75735280517335,431.79439309953443,0.6633333333333333,OBSERVABLE_ONLY
MyopicEconomic,Static,baseline,net_economic_value,94.09449049916901,-74.30677886545888,257.6048904143028,0.38666666666666666,OBSERVABLE_ONLY
MyopicEconomic,Static,baseline,credit_loss,-45.957945455300575,-206.92201084780257,97.67830144030312,0.2833333333333333,OBSERVABLE_ONLY
MyopicEconomic,Static,baseline,defaulted,-0.07,-0.10508333333333333,-0.038250000000000076,0.01,OBSERVABLE_ONLY
PDThreshold,Static,baseline,cumulative_reward,1582.563314304425,1329.6156463867658,1887.0540951530302,0.8166666666666667,OBSERVABLE_ONLY
PDThreshold,Static,baseline,net_economic_value,498.86639931202654,370.77340894638655,631.2017059438617,0.6233333333333333,OBSERVABLE_ONLY
PDThreshold,Static,baseline,credit_loss,-622.953783253226,-750.4353856828208,-493.87385815464734,0.02666666666666667,OBSERVABLE_ONLY
PDThreshold,Static,baseline,defaulted,-0.01,-0.03333333333333333,0.016666666666666666,0.016666666666666666,OBSERVABLE_ONLY
PPO,Static,baseline,cumulative_reward,3225.122071348,2821.1540500563615,3706.4898229613214,0.82,OBSERVABLE_ONLY
PPO,Static,baseline,net_economic_value,599.9119454602275,393.4355018868862,796.3465744348823,0.6233333333333333,OBSERVABLE_ONLY
PPO,Static,baseline,credit_loss,-1131.3680098070781,-1301.2710900599288,-955.3820283976253,0.11,OBSERVABLE_ONLY
PPO,Static,baseline,defaulted,0.07333333333333333,0.03666666666666667,0.11508333333333326,0.09666666666666666,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,baseline,cumulative_reward,3156.2570403921077,2686.6493223079624,3622.2784075158443,0.7566666666666667,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,baseline,net_economic_value,505.8174549610585,273.49407249950264,696.2303481870908,0.5133333333333333,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,baseline,credit_loss,-1085.4100643517775,-1260.9911332409843,-865.9808967701177,0.16333333333333333,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,baseline,defaulted,0.14333333333333334,0.10666666666666667,0.19,0.15,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline,cumulative_reward,1513.6982833485329,1143.0851047608548,1865.694796087718,0.5466666666666666,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline,net_economic_value,404.77190881285753,227.40223901138518,578.8997360851356,0.6933333333333334,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline,credit_loss,-576.9958377979256,-742.8161534548814,-397.8802528812993,0.19333333333333333,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline,defaulted,0.06,0.03,0.09333333333333334,0.07333333333333333,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline,cumulative_reward,3156.2570403921077,2653.9047369455297,3670.036663556588,0.7566666666666667,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline,net_economic_value,505.8174549610585,282.9394615593919,706.3964097912798,0.5133333333333333,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline,credit_loss,-1085.4100643517775,-1283.8590949577706,-880.0170150238022,0.16333333333333333,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline,defaulted,0.14333333333333334,0.10491666666666667,0.19333333333333333,0.15,OBSERVABLE_ONLY
Static,MyopicEconomic,baseline,cumulative_reward,-68.86503095589234,-431.79439309953506,224.75735280517335,0.33666666666666667,OBSERVABLE_ONLY
Static,MyopicEconomic,baseline,net_economic_value,-94.09449049916901,-257.60489041430293,74.30677886545872,0.6133333333333333,OBSERVABLE_ONLY
Static,MyopicEconomic,baseline,credit_loss,45.957945455300575,-97.67830144030312,206.92201084780245,0.36666666666666664,OBSERVABLE_ONLY
Static,MyopicEconomic,baseline,defaulted,0.07,0.03825,0.10508333333333326,0.08,OBSERVABLE_ONLY
AlwaysDecrease20,Static,severe_stress,cumulative_reward,2747.200162887738,2492.1265925443467,3026.403509340524,0.9533333333333334,OBSERVABLE_ONLY
AlwaysDecrease20,Static,severe_stress,net_economic_value,1213.3859187176315,1087.7290455783022,1346.0577373488193,0.89,OBSERVABLE_ONLY
AlwaysDecrease20,Static,severe_stress,credit_loss,-1408.2836604620588,-1560.264678173506,-1281.2107277365162,0.056666666666666664,OBSERVABLE_ONLY
AlwaysDecrease20,Static,severe_stress,defaulted,0.04,0.02,0.06508333333333326,0.04,OBSERVABLE_ONLY
