model,sample,n_obs,n_defaults,default_rate,mean_predicted_pd,roc_auc,pr_auc,brier,log_loss,ece,roc_auc_lower,roc_auc_upper,roc_auc_bootstrap_valid,brier_lower,brier_upper,brier_bootstrap_valid,pr_auc_lower,pr_auc_upper,pr_auc_bootstrap_valid,log_loss_lower,log_loss_upper,log_loss_bootstrap_valid
constant,validation,8046,3371,0.4189659458115834,0.4339842027184153,0.5,0.4189659458115834,0.24365903010230833,0.6804164503527866,0.015018256906832061,0.5,0.5,300,0.23952598345715323,0.24772859978144543,300,0.38766247894950784,0.44978864164133064,300,0.6721018158749384,0.6886033853838305,300
logistic,validation,8046,3371,0.4189659458115834,0.4176959673319846,0.8429573414004636,0.8073115812175444,0.15824685005696493,0.47604586146497985,0.018536214321127457,0.822290555147583,0.8623137597668358,300,0.147867447575697,0.16819992512527493,300,0.7797363399181146,0.832711194875723,300,0.4487990480328704,0.501826657887786,300
boosting,validation,8046,3371,0.4189659458115834,0.4164055098427908,0.840283227338561,0.8090634281796925,0.15907104676702075,0.4803785625737492,0.021386621224350436,0.8186895468522174,0.8604171086569238,300,0.14813530670442818,0.17033183267609794,300,0.7789510645321795,0.834284230804419,300,0.4506958219930716,0.5089545183340527,300
constant,test,10050,4603,0.45800995024875624,0.43398420271841553,0.5,0.45800995024875624,0.24881407226627975,0.6907870788482482,0.024025747530340813,0.5,0.5,300,0.2451891499827591,0.25252590314140616,300,0.4305549892183013,0.4861231521487042,300,0.6834946608366075,0.6982543347541174,300
logistic,test,10050,4603,0.45800995024875624,0.43551389383963524,0.8419871364454045,0.8231648787456185,0.16186049432762586,0.4868233924755733,0.022496056409120915,0.8220102573036986,0.8595024312670002,300,0.15279726639484498,0.17142142091718104,300,0.7964783645231384,0.8463247799708459,300,0.4632878997905118,0.5113804598233177,300
logistic_calibrated,test,10050,4603,0.45800995024875624,0.4777268454136581,0.8419871364454045,0.8231648787456185,0.16193412569255441,0.4864448342726885,0.023230797929024525,0.8220102573036986,0.8595024312670002,300,0.15279228254232116,0.17256256164770367,300,0.7964783645231384,0.8463247799708459,300,0.46296585932862305,0.5127137724308174,300
boosting,test,10050,4603,0.45800995024875624,0.42828597115286027,0.8459937905775088,0.8309593426893147,0.1610116878028085,0.4846745429480037,0.0354342087691655,0.8255878142386366,0.866146833875508,300,0.15016194144509323,0.17114286735434267,300,0.805537847131397,0.8550694909328653,300,0.45596168451920316,0.5129022092865709,300
boosting_calibrated,test,10050,4603,0.45800995024875624,0.4808947702686313,0.8459937905775088,0.8309593426893147,0.16022776856142393,0.4828536136538719,0.026296647947044217,0.8255878142386366,0.866146833875508,300,0.14879557930190698,0.17099683065154483,300,0.805537847131397,0.8550694909328653,300,0.45365495400793326,0.5100744740005688,300
constant,oot,7359,4170,0.5666530778638402,0.43398420271841537,0.5,0.5666530778638402,0.26315839764362914,0.7196441986883522,0.13266887514542475,0.5,0.5,300,0.25894629984320544,0.26750677703575254,300,0.5347508819208197,0.5995874630502813,300,0.7111705334717923,0.7283920276679491,300
logistic,oot,7359,4170,0.5666530778638402,0.6293892945827066,0.8446462021351875,0.8749987913662121,0.16308773180609137,0.48736500541989203,0.06416567166104575,0.8223248438086707,0.8630373651862292,300,0.15303953150137736,0.17482118653535372,300,0.8525779044000561,0.8934103493155183,300,0.4621115104757364,0.5177568920643357,300
logistic_calibrated,oot,7359,4170,0.5666530778638402,0.6730019438189889,0.8446462021351875,0.8749987913662121,0.17211708396874115,0.5112881361052317,0.10634886595514884,0.8223248438086707,0.8630373651862292,300,0.1599336178040551,0.18533011104923053,300,0.8525779044000561,0.8934103493155183,300,0.4804188420549203,0.5473188376638287,300
boosting,oot,7359,4170,0.5666530778638402,0.5258776171686336,0.8451736823147316,0.8753086475602351,0.16077648038352496,0.4841307035238144,0.043061298886970203,0.8224759496314629,0.8640861109927541,300,0.15120502258719434,0.1723481626469893,300,0.8541526846048141,0.8969496614210101,300,0.45920948167948733,0.5142222264783619,300
boosting_calibrated,oot,7359,4170,0.5666530778638402,0.5772840267896419,0.8451736823147316,0.8753086475602351,0.15816791507458108,0.47848597038392643,0.02067848492936725,0.8224759496314629,0.8640861109927541,300,0.14784239343721395,0.17013713744654535,300,0.8541526846048141,0.8969496614210101,300,0.4518462517379526,0.5093837793961331,300
constant,baseline_behavior,9891,4306,0.4353452633707411,0.4339842027184155,0.5,0.4353452633707411,0.24582161751750048,0.6847670240161143,0.0013610606523256075,0.5,0.5,300,0.24238400388799275,0.24977069053124937,300,0.4093089677334642,0.4652553241165385,300,0.6778514231871398,0.692711550525184,300
logistic,baseline_behavior,9891,4306,0.4353452633707411,0.44069440958054806,0.8271970862833854,0.8012237349203826,0.1672128958198469,0.4997365258126423,0.02487529282308156,0.8059678837281984,0.8435278987087185,300,0.15951490651588388,0.17724741568148428,300,0.773246656506925,0.8237249643111777,300,0.47926787634448675,0.5265196607671431,300
logistic_calibrated,baseline_behavior,9891,4306,0.4353452633707411,0.48395223861845027,0.8271970862833854,0.8012237349203826,0.17098211943057126,0.5072870465662138,0.053352518095230464,0.8059678837281984,0.8435278987087185,300,0.16240147299358537,0.18151088914051217,300,0.773246656506925,0.8237249643111777,300,0.4842329991123339,0.534277375324252,300
boosting,baseline_behavior,9891,4306,0.4353452633707411,0.4417483850215447,0.835387423432399,0.8138254957687049,0.1632439626825127,0.49244102602518297,0.030303473803793446,0.8168193073087844,0.853509438670453,300,0.15371671657062427,0.17408308062915137,300,0.7881317844340695,0.8364210551264173,300,0.4666718309887211,0.5203485906304987,300
boosting_calibrated,baseline_behavior,9891,4306,0.4353452633707411,0.49513750977538085,0.835387423432399,0.8138254957687049,0.1679287542700757,0.5029114074549498,0.06114185221156227,0.8168193073087844,0.853509438670453,300,0.15791862771965082,0.17822228770153736,300,0.7881317844340695,0.8364210551264173,300,0.4765347000780958,0.527914306040728,300
constant,mild_stress_behavior,9439,5010,0.5307765653141222,0.4339842027184154,0.5,0.5307765653141222,0.25842156448432435,0.7101148999207377,0.09679236259570673,0.5,0.5,300,0.2549240455687605,0.26239973265099664,300,0.5042865503511474,0.5609069911401091,300,0.7030787849530149,0.7181179584480508,300
logistic,mild_stress_behavior,9439,5010,0.5307765653141222,0.4862947353183673,0.8278387906958717,0.8432032211516552,0.17092155762664307,0.5085495456983237,0.04448182999575497,0.8103032089155274,0.8451596722663814,300,0.1627387357848749,0.17950557268964606,300,0.8197077497278326,0.8614190778149983,300,0.4877883529543399,0.530282406620649,300
logistic_calibrated,mild_stress_behavior,9439,5010,0.5307765653141222,0.5306148465846365,0.8278387906958717,0.8432032211516552,0.16855779100583626,0.5029248247548028,0.021510818624949798,0.8103032089155274,0.8451596722663814,300,0.15984292190932503,0.1775586354197156,300,0.8197077497278326,0.8614190778149983,300,0.48108211917512245,0.525135241875665,300
boosting,mild_stress_behavior,9439,5010,0.5307765653141222,0.4610329747286061,0.8429536501618574,0.8593720728193737,0.16785220810513257,0.5038667475546135,0.06974359058551613,0.8265657462098833,0.8605539579724896,300,0.15968388321971388,0.17743180751423682,300,0.8373954971593164,0.8783329195498857,300,0.47993197621450107,0.5301382278282699,300
boosting_calibrated,mild_stress_behavior,9439,5010,0.5307765653141222,0.5143273977295594,0.8429536501618574,0.8593720728193737,0.16187262765817545,0.4883897164184266,0.023431186390416248,0.8265657462098833,0.8605539579724896,300,0.1530548653180977,0.17080484483388977,300,0.8373954971593164,0.8783329195498857,300,0.46361978044644986,0.5116571514839218,300
constant,severe_stress_behavior,7896,6062,0.7677304964539007,0.43398420271841537,0.5,0.7677304964539007,0.2897069698507206,0.7730531467991806,0.3337462937354852,0.5,0.5,300,0.2853736119402107,0.29355831333931287,300,0.7349098831389821,0.796900359177551,300,0.7643355372048592,0.7808010664588396,300
logistic,severe_stress_behavior,7896,6062,0.7677304964539007,0.5836313809158066,0.8074881981070199,0.9275049681802403,0.1808419154447032,0.5312915000410179,0.1840991155380942,0.775628139514236,0.8348887330093603,300,0.17201723857556747,0.19064939081946186,300,0.9100780323922251,0.9436695348127206,300,0.5082834515228429,0.5564569585726816,300
logistic_calibrated,severe_stress_behavior,7896,6062,0.7677304964539007,0.6279207477307073,0.8074881981070199,0.9275049681802403,0.16366827654815486,0.48946576010462794,0.1398097487231933,0.775628139514236,0.8348887330093603,300,0.1547070081296317,0.17387978727012113,300,0.9100780323922251,0.9436695348127206,300,0.46498102849569556,0.516948983450567,300
