policy,policy_seed,replicate,metric,clipping,IS,WIS,ESS,mean_weight,max_weight,weight_p99,nonzero_weights,zero_weight_fraction,IS_lower,IS_upper,IS_valid_bootstraps,WIS_lower,WIS_upper,WIS_valid_bootstraps,unreliable,episodes,true_MC_value,MC_standard_error,MC_lower,MC_upper,customers,IS_error,IS_covers_MC_point,WIS_error,WIS_covers_MC_point
Static,-1,0,net_economic_value,none,-342.40674410624206,-2341.9392819611617,3.7456267807084984,0.14620649935019134,39.4570707070707,4.166666666666666,8,0.9866666666666667,-744.4154854371826,-62.816562296567824,400,-2820.0606074530037,-1620.9681453933308,400,True,600,-1306.9756689475205,50.61578745178668,-1408.9221336881667,-1205.7495203821013,2000,964.5689248412784,False,-1034.9636130136412,False
Static,-1,0,net_economic_value,20.0,-255.6658589937834,-2247.0578736583116,5.191651623734898,0.11377804817174017,20.0,4.166666666666666,8,0.9866666666666667,-495.1148007088167,-62.816562296567824,400,-2820.0606074530037,-1620.9681453933308,400,True,600,-1306.9756689475205,50.61578745178668,-1408.9221336881667,-1205.7495203821013,2000,1051.3098099537372,False,-940.0822047107911,False
Static,-1,0,cumulative_reward,none,-480.42390979850734,-3285.92717788697,3.7456267807084984,0.14620649935019134,39.4570707070707,4.166666666666666,8,0.9866666666666667,-1079.2179896603923,-78.64184153073658,400,-3966.5646934034235,-2027.0603845558483,400,True,600,-5165.54790778983,98.55534458077524,-5350.284393416542,-4990.200118591346,2000,4685.1239979913225,False,1879.6207299028597,False
Static,-1,0,cumulative_reward,20.0,-347.9784440508389,-3058.39702510619,5.191651623734898,0.11377804817174017,20.0,4.166666666666666,8,0.9866666666666667,-700.2381375935747,-78.64184153073658,400,-3891.964529970947,-2027.0603845558483,400,True,600,-5165.54790778983,98.55534458077524,-5350.284393416542,-4990.200118591346,2000,4817.569463738991,False,2107.15088268364,False
AlwaysDecrease20,-1,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
AlwaysDecrease20,-1,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
AlwaysDecrease20,-1,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
AlwaysDecrease20,-1,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PDThreshold,-1,0,net_economic_value,none,-680.9117438014517,-2295.4278363372055,3.2672809406544623,0.29663827066242116,94.74507492968071,5.173241008411748,14,0.9766666666666667,-1502.775302264769,-135.21903190256606,400,-3407.475232066426,-1698.6132743045198,400,True,600,-736.8796588685249,38.9524208481591,-814.9149860469875,-659.6949642041578,2000,55.967915067073136,True,-1558.5481774686805,False
PDThreshold,-1,0,net_economic_value,20.0,-421.4134746937318,-2449.1791823536814,9.525697749193947,0.17206314577961995,20.0,5.173241008411748,14,0.9766666666666667,-754.8640774271084,-135.21903190256606,400,-3413.8419525291033,-1621.4723156698506,400,True,600,-736.8796588685249,38.9524208481591,-814.9149860469875,-659.6949642041578,2000,315.46618417479306,True,-1712.2995234851564,False
