policy,policy_seed,metric,true_MC_value,MC_standard_error,MC_lower,MC_upper,customers
Static,-1,net_economic_value,-1306.9756689475205,50.61578745178668,-1408.9221336881667,-1205.7495203821013,2000
Static,-1,cumulative_reward,-5165.54790778983,98.55534458077524,-5350.284393416542,-4990.200118591346,2000
AlwaysDecrease20,-1,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
AlwaysDecrease20,-1,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PDThreshold,-1,net_economic_value,-736.8796588685249,38.9524208481591,-814.9149860469875,-659.6949642041578,2000
PDThreshold,-1,cumulative_reward,-3437.097751302762,58.046055074186036,-3545.896655244245,-3319.204836024594,2000
UtilizationPD,-1,net_economic_value,-745.5220547888831,38.781644498535,-827.6348836475753,-671.47280722777,2000
UtilizationPD,-1,cumulative_reward,-3447.501135703059,57.73976641016862,-3557.295230117779,-3330.6936713099403,2000
MyopicEconomic,-1,net_economic_value,-1152.8661075623015,55.920632468526364,-1262.9415967618602,-1045.2494641592382,2000
MyopicEconomic,-1,cumulative_reward,-5231.670146480793,110.16020414498716,-5455.22133396753,-5007.800572868119,2000
PPO,101,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO,101,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO,202,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO,202,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO,303,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO,303,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO,404,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO,404,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO,505,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO,505,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO_without_PD,101,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO_without_PD,101,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO_without_PD,202,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO_without_PD,202,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO_without_PD,303,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO_without_PD,303,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO_without_PD,404,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO_without_PD,404,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
PPO_without_PD,505,net_economic_value,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000
PPO_without_PD,505,cumulative_reward,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000
Behavior,-1,net_economic_value,-998.668179087975,45.905702222563924,-1090.3156771582808,-911.7654998906797,2000
Behavior,-1,cumulative_reward,-4265.936456771599,81.5242143751003,-4423.220811099285,-4110.460256918664,2000
SoftPDThreshold,-1,net_economic_value,-925.0986101443532,44.35827735921656,-1019.6318482062359,-836.234778131052,2000
SoftPDThreshold,-1,cumulative_reward,-4056.4473529690804,75.70146221106306,-4201.8759946626415,-3909.628425416655,2000
