policy,policy_seed,metric,clipping,true_MC_value,MC_standard_error,mean_ESS,min_ESS,max_weight,mean_zero_weight_fraction,unreliable_fraction,replicates,IS_mean,IS_sd,IS_mean_error,IS_RMSE,IS_coverage_MC_point,IS_available_replicates,WIS_mean,WIS_sd,WIS_mean_error,WIS_RMSE,WIS_coverage_MC_point,WIS_available_replicates
AlwaysDecrease20,-1,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
AlwaysDecrease20,-1,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
AlwaysDecrease20,-1,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
AlwaysDecrease20,-1,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
Behavior,-1,cumulative_reward,20.0,-4265.936456771599,81.5242143751003,600.0,600.0,1.0,0.0,0.0,5,-4254.241406365041,148.35679503817568,11.695050406557678,133.20872760900966,1.0,5,-4254.241406365042,148.35679503817556,11.695050406557678,133.20872760900957,1.0,5
Behavior,-1,cumulative_reward,none,-4265.936456771599,81.5242143751003,600.0,600.0,1.0,0.0,0.0,5,-4254.241406365041,148.35679503817568,11.695050406557678,133.20872760900966,1.0,5,-4254.241406365042,148.35679503817556,11.695050406557678,133.20872760900957,1.0,5
Behavior,-1,net_economic_value,20.0,-998.668179087975,45.90570222256392,600.0,600.0,1.0,0.0,0.0,5,-963.7170141723396,36.93712882598684,34.95116491563547,48.09433560915452,1.0,5,-963.7170141723394,36.93712882598674,34.951164915635445,48.094335609154406,1.0,5
Behavior,-1,net_economic_value,none,-998.668179087975,45.90570222256392,600.0,600.0,1.0,0.0,0.0,5,-963.7170141723396,36.93712882598684,34.95116491563547,48.09433560915452,1.0,5,-963.7170141723394,36.93712882598674,34.951164915635445,48.094335609154406,1.0,5
MyopicEconomic,-1,cumulative_reward,20.0,-5231.670146480793,110.16020414498716,3.964543592487606,2.716757716092178,20.0,0.9896666666666667,1.0,5,-369.30722507641536,305.4193656335532,4862.362921404378,4870.030592365033,0.0,5,-3562.27062204887,2012.0552994709876,1669.3995244319235,2454.707313444306,0.4,5
MyopicEconomic,-1,cumulative_reward,none,-5231.670146480793,110.16020414498716,2.1428427121001854,1.502936217823483,164.40446127946123,0.9896666666666667,1.0,5,-1473.1983160302555,1786.2781518411393,3758.4718304505377,4083.9615826898043,0.4,5,-4415.6849391749,4132.85916123065,815.9852073058935,3785.531896021552,0.4,5
MyopicEconomic,-1,net_economic_value,20.0,-1152.8661075623015,55.92063246852637,3.964543592487606,2.716757716092178,20.0,0.9896666666666667,1.0,5,-246.31151178612566,203.61243024506032,906.554595776176,924.666238446687,0.0,5,-2384.1204085362224,1357.0913659239156,-1231.2543009739213,1728.9721611521022,0.4,5
MyopicEconomic,-1,net_economic_value,none,-1152.8661075623015,55.92063246852637,2.1428427121001854,1.502936217823483,164.40446127946123,0.9896666666666667,1.0,5,-884.9985524953823,1080.223155872438,267.86755506691924,1002.6258924663459,0.4,5,-2682.85718659178,2523.233297652947,-1529.991079029479,2726.579857883763,0.6,5
PDThreshold,-1,cumulative_reward,20.0,-3437.097751302762,58.04605507418604,8.243520765103488,7.335074782754376,20.0,0.974,1.0,5,-578.6608918898206,163.6525731917063,2858.4368594129414,2862.1822113590765,0.0,5,-3454.814679321929,864.3731928997984,-17.71692801916679,773.3218623713351,1.0,5
PDThreshold,-1,cumulative_reward,none,-3437.097751302762,58.04605507418604,4.135254193257632,2.984300392788978,135.52527156068803,0.974,1.0,5,-971.5030111192837,443.9322077333981,2465.5947401834783,2497.3622217994075,0.2,5,-3168.4949167100094,1191.4520959410002,268.60283459275274,1098.996797215089,0.8,5
PDThreshold,-1,net_economic_value,20.0,-736.8796588685249,38.9524208481591,8.243520765103488,7.335074782754376,20.0,0.974,1.0,5,-378.71586779112477,101.67610487916026,358.1637910774001,369.52905904901974,0.4,5,-2263.547847260782,537.9524758109195,-1526.668188392257,1600.6967390588932,0.2,5
PDThreshold,-1,net_economic_value,none,-736.8796588685249,38.9524208481591,4.135254193257632,2.984300392788978,135.52527156068803,0.974,1.0,5,-575.8032933525261,281.0787834999404,161.07636551599873,298.57967371354795,0.8,5,-1886.8678881764758,832.9279026725644,-1149.9882293079509,1370.214596472848,0.2,5
PPO,101,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO,101,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO,101,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO,101,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO,202,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO,202,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO,202,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO,202,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO,303,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO,303,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO,303,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO,303,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO,404,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO,404,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO,404,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
PPO,404,net_economic_value,none,-770.6019434141261,26.68295887137511,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-43.206364266330695,48.02914557410239,727.3955791477954,728.6630000373419,0.0,5,-1560.8046816850092,1103.4846896617148,-790.2027382708832,1240.0319402374923,0.2,4
PPO,505,cumulative_reward,20.0,-2298.894133238068,41.35353228950154,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-32.02177964503089,29.336831328208547,2266.872353593037,2267.0242140794035,0.0,5,-1921.723874689038,1141.906486925828,377.1702585490296,1058.4045647087914,0.0,4
PPO,505,cumulative_reward,none,-2298.894133238068,41.35353228950154,1.1297297297297297,0.0,72.33796296296293,0.9976666666666665,1.0,5,-62.159853771432836,79.44489781331143,2236.734279466635,2237.8626924751175,0.0,5,-1913.2523837499266,1152.3174603424536,385.641749488141,1069.8580307712962,0.0,4
PPO,505,net_economic_value,20.0,-770.6019434141261,26.68295887137511,1.1597337770382694,0.0,20.0,0.9976666666666665,1.0,5,-24.679791809756487,23.068640263156507,745.9221516043697,746.2074684596537,0.0,5,-1567.6795856431631,1096.5354886623538,-797.0776422290371,1239.808584485279,0.2,4
