policy,policy_seed,replicate,support_min,support_p10,support_median,target_mass_below_threshold,unsupported_target_mass,decisions
AlwaysDecrease20,-1,2.0,0.04,0.04,0.04,0.8471479424046349,0.0,8836.6
Behavior,-1,2.0,0.3119999999999999,0.31199999999999994,0.42400000000000004,0.10665603453400001,0.0,8836.6
MyopicEconomic,-1,2.0,0.24,0.24,0.24,0.0,0.0,8836.6
PDThreshold,-1,2.0,0.44000000000000006,0.44000000000000006,0.52,0.0,0.0,8836.6
PPO,101,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO,202,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO,303,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO,404,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO,505,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO_without_PD,101,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO_without_PD,202,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO_without_PD,303,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO_without_PD,404,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
PPO_without_PD,505,2.0,0.04,0.04,0.04,0.8473726322040745,0.0,8836.6
SoftPDThreshold,-1,2.0,0.3376,0.3376,0.4431999999999999,0.08532482762719998,0.0,8836.6
Static,-1,2.0,0.24,0.24,0.4,0.0,0.0,8836.6
UtilizationPD,-1,2.0,0.24,0.24,0.44000000000000006,0.0,0.0,8836.6
