model,sample,n_obs,n_defaults,default_rate,mean_predicted_pd,roc_auc,pr_auc,brier,log_loss,ece,roc_auc_lower,roc_auc_upper,roc_auc_bootstrap_valid,brier_lower,brier_upper,brier_bootstrap_valid,pr_auc_lower,pr_auc_upper,pr_auc_bootstrap_valid,log_loss_lower,log_loss_upper,log_loss_bootstrap_valid
constant,validation,8046,3371,0.4189659458115834,0.4339842027184153,0.5,0.4189659458115834,0.24365903010230833,0.6804164503527866,0.015018256906832061,0.5,0.5,200,0.23922352911920944,0.24757644718488117,200,0.38537170651019553,0.448636246284237,200,0.6714933549786188,0.6882972932116623,200
logistic,validation,8046,3371,0.4189659458115834,0.4176959673319846,0.8429573414004636,0.8073115812175444,0.15824685005696493,0.47604586146497985,0.018536214321127457,0.8246111250783319,0.8620002379227488,200,0.1486499723998113,0.1674176545608815,200,0.7795784226831193,0.8305244697545303,200,0.45084855308785055,0.5004625774091694,200
boosting,validation,8046,3371,0.4189659458115834,0.4164055098427908,0.840283227338561,0.8090634281796925,0.15907104676702075,0.4803785625737492,0.021386621224350436,0.8181955934181339,0.8600269769623355,200,0.14815010438083867,0.16929314583175706,200,0.7815057907947977,0.833878629562455,200,0.45085043466185337,0.5082399617567495,200
constant,test,10050,4603,0.45800995024875624,0.43398420271841553,0.5,0.45800995024875624,0.24881407226627975,0.6907870788482482,0.024025747530340813,0.5,0.5,200,0.24432118808498657,0.25276471767837644,200,0.4239810937757427,0.4879319202527354,200,0.6817485431320957,0.6987347686212821,200
logistic,test,10050,4603,0.45800995024875624,0.43551389383963524,0.8419871364454045,0.8231648787456185,0.16186049432762586,0.4868233924755733,0.022496056409120915,0.8247193626455817,0.8589053514636513,200,0.15313484808195282,0.1711481525715095,200,0.7965688864871497,0.8463510521722403,200,0.46337414142309596,0.5098433056071398,200
logistic_calibrated,test,10050,4603,0.45800995024875624,0.4777268454136581,0.8419871364454045,0.8231648787456185,0.16193412569255441,0.4864448342726885,0.023230797929024525,0.8247193626455817,0.8589053514636513,200,0.15279328283073554,0.17086083021796578,200,0.7965688864871497,0.8463510521722403,200,0.4630914276711841,0.5096171230241927,200
boosting,test,10050,4603,0.45800995024875624,0.42828597115286027,0.8459937905775088,0.8309593426893147,0.1610116878028085,0.4846745429480037,0.0354342087691655,0.8288246676345039,0.8658357439787301,200,0.15021205385739436,0.1704640967416073,200,0.8060389119402691,0.8552652563937858,200,0.45658489348106446,0.5089061119372756,200
boosting_calibrated,test,10050,4603,0.45800995024875624,0.4808947702686313,0.8459937905775088,0.8309593426893147,0.16022776856142393,0.4828536136538719,0.026296647947044217,0.8288246676345039,0.8658357439787301,200,0.14900718790480613,0.1697287709375591,200,0.8060389119402691,0.8552652563937858,200,0.4541158330755039,0.5072347155389353,200
constant,oot,7359,4170,0.5666530778638402,0.43398420271841537,0.5,0.5666530778638402,0.26315839764362914,0.7196441986883522,0.13266887514542475,0.5,0.5,200,0.25901460868049975,0.2674609268125528,200,0.5352682492791426,0.5992401959938506,200,0.7113079534097876,0.7282997887267116,200
logistic,oot,7359,4170,0.5666530778638402,0.6293892945827066,0.8446462021351875,0.8749987913662121,0.16308773180609137,0.48736500541989203,0.06416567166104575,0.8222508571109749,0.8603255882332675,200,0.15347039034065962,0.17494929636291456,200,0.8498769572510431,0.8918150362145938,200,0.46422879510368176,0.5182471101174491,200
logistic_calibrated,oot,7359,4170,0.5666530778638402,0.6730019438189889,0.8446462021351875,0.8749987913662121,0.17211708396874115,0.5112881361052317,0.10634886595514884,0.8222508571109749,0.8603255882332675,200,0.16087276499789865,0.1857628704940253,200,0.8498769572510431,0.8918150362145938,200,0.48338411144526267,0.5484421597538223,200
boosting,oot,7359,4170,0.5666530778638402,0.5258776171686336,0.8451736823147316,0.8753086475602351,0.16077648038352496,0.4841307035238144,0.043061298886970203,0.8223308257020571,0.8640711884055807,200,0.1512217890044593,0.17229157868374417,200,0.851979578424024,0.8955879551930733,200,0.46014522092658344,0.5138916792707992,200
boosting_calibrated,oot,7359,4170,0.5666530778638402,0.5772840267896419,0.8451736823147316,0.8753086475602351,0.15816791507458108,0.47848597038392643,0.02067848492936725,0.8223308257020571,0.8640711884055807,200,0.14796928600982812,0.17031770549667585,200,0.851979578424024,0.8955879551930733,200,0.4527131978257234,0.5103540519773615,200
constant,baseline_behavior,9891,4306,0.4353452633707411,0.4339842027184155,0.5,0.4353452633707411,0.24582161751750048,0.6847670240161143,0.0013610606523256075,0.5,0.5,200,0.24216148638918292,0.24972643265471353,200,0.4076236324957429,0.4649201174057336,200,0.6774037747993099,0.6926225149788292,200
