sample,customers,snapshots,positive_snapshots,default_prevalence,customers_with_positive_snapshot,observation_start,observation_end,last_label_end,generated_customers,realized_default_events
train,2500.0,24941.0,10824.0,0.4339842027184155,1597.0,0.0,12.0,24.0,2500.0,1597.0
validation,800.0,8046.0,3371.0,0.4189659458115834,497.0,25.0,37.0,49.0,800.0,497.0
calibration,800.0,7560.0,3696.0,0.4888888888888889,548.0,50.0,62.0,74.0,800.0,548.0
test,1000.0,10050.0,4603.0,0.45800995024875624,702.0,75.0,87.0,99.0,1000.0,702.0
oot,1000.0,7359.0,4170.0,0.5666530778638402,776.0,100.0,112.0,124.0,1000.0,776.0
baseline_behavior,1000.0,9891.0,4306.0,0.4353452633707411,643.0,100.0,112.0,124.0,1000.0,643.0
mild_stress_behavior,1000.0,9439.0,5010.0,0.5307765653141222,705.0,100.0,112.0,124.0,1000.0,705.0
severe_stress_behavior,1000.0,7896.0,6062.0,0.7677304964539007,894.0,100.0,112.0,124.0,1000.0,894.0
baseline_static,1000.0,9922.0,4377.0,0.4411408990122959,639.0,100.0,112.0,124.0,1000.0,639.0
baseline_always_increase,1000.0,10429.0,3811.0,0.3654233387669,563.0,100.0,112.0,124.0,1000.0,563.0
baseline_always_decrease,1000.0,8790.0,4719.0,0.5368600682593857,710.0,100.0,112.0,124.0,1000.0,710.0
