scenario,policy,policy_seed,unmatched_rows,effective_action_max_abs_difference,balance_max_abs_difference,credit_limit_max_abs_difference,reward_max_abs_difference,predicted_pd_max_abs_difference
baseline,PPO,101,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO,202,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO,303,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO,404,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO,505,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO_without_PD,101,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO_without_PD,202,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO_without_PD,303,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO_without_PD,404,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline,PPO_without_PD,505,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline_biased_pd,PPO,101,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline_biased_pd,PPO,202,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline_biased_pd,PPO,303,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline_biased_pd,PPO,404,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
baseline_biased_pd,PPO,505,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,5.684341886080802e-14,1.1102230246251565e-16
mild_stress,PPO,101,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,7.993605777301127e-15,1.1102230246251565e-16
mild_stress,PPO,202,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,7.993605777301127e-15,1.1102230246251565e-16
mild_stress,PPO,303,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,7.993605777301127e-15,1.1102230246251565e-16
mild_stress,PPO,404,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,7.993605777301127e-15,1.1102230246251565e-16
mild_stress,PPO,505,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,7.993605777301127e-15,1.1102230246251565e-16
mild_stress,PPO_without_PD,101,0,1.1102230246251563e-16,1.7053025658242404e-13,5.684341886080802e-14,7.993605777301127e-15,1.1102230246251565e-16
