policy,reference,scenario,metric,difference,lower,upper,fraction_customers_positive,information_set
AlwaysDecrease,Static,baseline,cumulative_reward,2492.7029730771715,2151.2994438355877,2903.370136935643,0.7766666666666666,OBSERVABLE_ONLY
AlwaysDecrease,Static,baseline,net_economic_value,553.1003017368354,378.627511285412,735.7781927029617,0.6133333333333333,OBSERVABLE_ONLY
AlwaysDecrease,Static,baseline,credit_loss,-900.8642929609052,-1067.9392333954654,-745.2493451226657,0.08,OBSERVABLE_ONLY
AlwaysDecrease,Static,baseline,defaulted,0.013333333333333334,-0.02,0.05174999999999993,0.056666666666666664,OBSERVABLE_ONLY
AlwaysDecrease20,Static,baseline,cumulative_reward,3225.122071348,2853.6890136405127,3680.5310213825346,0.82,OBSERVABLE_ONLY
AlwaysDecrease20,Static,baseline,net_economic_value,599.9119454602276,403.9407328524644,802.5435175348488,0.6233333333333333,OBSERVABLE_ONLY
AlwaysDecrease20,Static,baseline,credit_loss,-1131.368009807078,-1320.5128758908818,-946.2123869768842,0.11,OBSERVABLE_ONLY
AlwaysDecrease20,Static,baseline,defaulted,0.07333333333333333,0.03666666666666667,0.11333333333333333,0.09666666666666666,OBSERVABLE_ONLY
AlwaysIncrease,Static,baseline,cumulative_reward,-750.911378589632,-1008.5532250504303,-444.73754407707196,0.47333333333333333,OBSERVABLE_ONLY
AlwaysIncrease,Static,baseline,net_economic_value,-323.763710560965,-487.76987031848387,-145.47624219390323,0.23666666666666666,OBSERVABLE_ONLY
AlwaysIncrease,Static,baseline,credit_loss,400.7557527235134,226.31589821137655,556.117357429551,0.45666666666666667,OBSERVABLE_ONLY
AlwaysIncrease,Static,baseline,defaulted,-0.04666666666666667,-0.08175,-0.016666666666666666,0.013333333333333334,OBSERVABLE_ONLY
MyopicEconomic,Static,baseline,cumulative_reward,68.86503095589234,-224.75735280517335,431.79439309953443,0.6633333333333333,OBSERVABLE_ONLY
MyopicEconomic,Static,baseline,net_economic_value,94.09449049916901,-74.30677886545888,257.6048904143028,0.38666666666666666,OBSERVABLE_ONLY
