policy,policy_seed,scenario,information_set,n_obs,n_defaults,default_rate,mean_predicted_pd,roc_auc,pr_auc,brier,log_loss,ece
MyopicEconomic,-1,baseline,OBSERVABLE_ONLY,3038,1122,0.36932192231731403,0.45220274519554804,0.8228814300440237,0.7587342732352399,0.17087142471423367,0.5216389563421711,0.0986491957201375
PPO,101,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO,202,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO,303,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO,404,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO,505,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO_without_PD,101,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO_without_PD,202,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO_without_PD,303,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO_without_PD,404,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
PPO_without_PD,505,baseline,OBSERVABLE_ONLY,2660,1400,0.5263157894736842,0.47603645936553224,0.8241009070294784,0.8496378655152474,0.17355009978842692,0.5224275640839956,0.050279330108151964
Static,-1,baseline,OBSERVABLE_ONLY,2942,1296,0.4405166553365058,0.4810026098134934,0.8249169329313113,0.8047457469726864,0.1715181550312359,0.5199655606686626,0.057678135064011156
MyopicEconomic,-1,mild_stress,OBSERVABLE_ONLY,2922,1305,0.446611909650924,0.5050914735889448,0.7965619128180705,0.7699353039035008,0.18829138245008548,0.5607034334397,0.07356802035188226
PPO,101,mild_stress,OBSERVABLE_ONLY,2548,1604,0.6295133437990581,0.5300589789336493,0.8173428980514816,0.8812029756394056,0.17673970880277395,0.523899776463475,0.09945436486540883
