policy,information_set,baseline_value,baseline_default_rate,mild_stress_value,mild_stress_default_rate,oot_markov_value,oot_markov_default_rate,recovery_value,recovery_default_rate,severe_stress_value,severe_stress_default_rate,worst_scenario_value,baseline_biased_pd_value,baseline_biased_pd_default_rate
AlwaysDecrease,OBSERVABLE_ONLY,-826.239462569295,0.6533333333333333,-1030.1117840130883,0.7266666666666667,-703.3542406680698,0.6833333333333333,-1596.0410663607383,0.8333333333333334,-1668.126670158025,0.9333333333333333,-1668.126670158025,,
AlwaysDecrease20,OBSERVABLE_ONLY,-779.4278188459028,0.7133333333333334,-887.7298521760283,0.7866666666666666,-738.2892451325431,0.7466666666666667,-1514.1211342477652,0.8933333333333333,-1280.8395876998673,0.9533333333333334,-1514.1211342477652,,
AlwaysIncrease,OBSERVABLE_ONLY,-1703.1034748670954,0.5933333333333334,-1956.3387699065584,0.65,-1716.612384705435,0.62,-2056.5681884272667,0.7433333333333333,-2755.2491137117377,0.8766666666666667,-2755.2491137117377,,
MyopicEconomic,OBSERVABLE_ONLY,-1285.2452738069612,0.57,-1525.5889045791337,0.63,-1381.9189637475026,0.6,-1943.8663272273711,0.7466666666666667,-2430.5598213305507,0.8733333333333333,-2430.5598213305507,-1280.373320287076,0.5666666666666667
PDThreshold,OBSERVABLE_ONLY,-827.9712688944412,0.64,-1119.5376342182835,0.7166666666666667,-744.099418058919,0.67,-1576.09432045485,0.82,-1886.6577440304357,0.92,-1886.6577440304357,-1375.9478865625338,0.6333333333333333
PPO,OBSERVABLE_ONLY,-779.4278188459028,0.7133333333333334,-887.7298521760283,0.7866666666666666,-738.2892451325431,0.7466666666666667,-1514.121134247765,0.8933333333333333,-1280.839587699867,0.9533333333333334,-1514.121134247765,-779.4278188459028,0.7133333333333334
PPO_without_PD,OBSERVABLE_ONLY,-779.4278188459028,0.7133333333333334,-887.7298521760283,0.7866666666666666,-738.2892451325431,0.7466666666666667,-1514.121134247765,0.8933333333333333,-1280.839587699867,0.9533333333333334,-1514.121134247765,,
Random,OBSERVABLE_ONLY,-1294.6345501483004,0.6433333333333333,-1480.9247982104714,0.7033333333333334,-1168.7678208015905,0.6733333333333333,-1918.530024676543,0.81,-2317.216778280128,0.9133333333333333,-2317.216778280128,,
SIMULATOR_ONLY_ORACLE_Myopic,SIMULATOR_ONLY_ORACLE,-1156.5444291666088,0.5633333333333334,-1389.5794565752944,0.6266666666666667,-1172.5863575227618,0.58,-1943.5891896158162,0.7533333333333333,-2256.2071090889053,0.8733333333333333,-2256.2071090889053,,
Static,OBSERVABLE_ONLY,-1379.3397643061305,0.64,-1615.283812538547,0.6966666666666667,-1305.6952469697005,0.6766666666666666,-1991.9798899121265,0.79,-2494.2255064174983,0.9133333333333333,-2494.2255064174983,,
UtilizationPD,OBSERVABLE_ONLY,-852.879575225136,0.65,-1125.9306581439835,0.72,-769.019488257986,0.6766666666666666,-1576.2982677913628,0.82,-1881.8377077775697,0.92,-1881.8377077775697,,
