policy,scenario,information_set,unique_customers,training_seeds,episodes,customer_months,cumulative_reward,discounted_reward,net_economic_value,revenue,credit_loss,funding_cost,capital_charge,constraint_penalty,mean_balance,mean_limit,mean_utilization,limit_changes,reversals,default_rate,ever_delinquent_rate,delinquent_month_rate,credit_loss_rate,mean_exposure_at_default,mean_predicted_pd,high_risk_exposure_share,increase_fraction,decrease_fraction,no_change_fraction,requested_change,effective_change,mean_absolute_change,delinquent_increase_fraction,severe_delinquent_increases,blocked_fraction,mean_limit_growth,cumulative_reward_lower,cumulative_reward_upper,cumulative_reward_seed_sd,net_economic_value_lower,net_economic_value_upper,net_economic_value_seed_sd,credit_loss_lower,credit_loss_upper,credit_loss_seed_sd,defaulted_lower,defaulted_upper,defaulted_seed_sd,default_alert,loss_alert,high_risk_exposure_alert
AlwaysDecrease,baseline,OBSERVABLE_ONLY,300,1,300,4133,-3095.9453704067964,-2799.2854243034785,-826.239462569295,600.4819635395917,1336.3931040712243,90.32832203766195,2165.6233583827184,104.08254945478343,3315.534445722782,3954.7334380628486,0.9092005693456195,13.386666666666667,0.0,0.6533333333333333,0.7966666666666666,0.17711105734333413,0.4860170311556766,3719.090271070198,0.40875355435482524,0.38205065206376293,0.0,0.971691265424631,0.02830873457536898,-0.09716912654246308,-0.09674284489002252,0.09674284489002252,0.0,0,0.0,-0.6571064344556199,-3390.8676187380197,-2846.0891089597158,0.0,-1014.2223158094716,-658.3022825436528,0.0,1195.1742396314573,1518.664986675326,0.0,0.6033333333333334,0.71,0.0,False,False,False
AlwaysDecrease,mild_stress,OBSERVABLE_ONLY,300,1,300,3759,-3432.3029420099338,-3086.5060714214433,-1030.1117840130883,562.3134468996801,1505.6546205352631,86.7706103775056,2292.133326401557,110.05783159528869,3444.581974761731,4117.1993648799835,0.905744372998289,12.186666666666667,0.0,0.7266666666666667,0.8166666666666667,0.20537376961957968,0.5475737538521261,3767.2759479614588,0.4605064868435333,0.45291964678969265,0.0,0.9725990955041235,0.027400904495876562,-0.09725990955041232,-0.09692052665369873,0.09692052665369873,0.0,0,0.0,-0.6311585512197032,-3738.6019229314907,-3201.3341986926525,0.0,-1202.6481614714662,-860.4115446248223,0.0,1360.5209096713381,1674.9850272430801,0.0,0.68,0.7766666666666666,0.0,False,False,False
AlwaysDecrease,oot_markov,OBSERVABLE_ONLY,300,1,300,4232,-2802.904775367129,-2518.5894561450336,-703.3542406680698,538.0383296479944,1160.3826015187622,81.00996879730218,1982.786548861151,116.76398583790814,2855.7907531950445,3514.491891056383,0.9039526617860639,13.626666666666667,0.0,0.6833333333333333,0.78,0.17485822306238186,0.48438464290921873,3087.492509584289,0.43869983329857276,0.4180021406726035,0.0,0.9659735349716446,0.034026465028355386,-0.09659735349716443,-0.09609742565164597,0.09609742565164597,0.0,0,0.0,-0.6725370218279574,-3023.11984907145,-2571.033897264765,0.0,-871.3139719912014,-554.6336731620108,0.0,1028.1316472164335,1300.9408090130387,0.0,0.6315833333333333,0.7350833333333332,0.0,False,False,False
AlwaysDecrease,recovery,OBSERVABLE_ONLY,300,1,300,2646,-3967.5578400087948,-3676.897179451688,-1596.0410663607383,389.1837959169209,1919.5929697231172,65.63189255454205,2265.723204701478,105.79356894657741,3708.3215779134034,4773.609983030195,0.8358284784497592,8.63,0.0,0.8333333333333334,0.82,0.2766439909297052,0.6981141052957838,4188.202843032256,0.588901177183453,0.7471669382502185,0.0,0.9784580498866213,0.021541950113378686,-0.09784580498866212,-0.09761413600457143,0.09761413600457143,0.0,0,0.0,-0.49174728285905955,-4291.7722446700445,-3714.1716369880655,0.0,-1783.233557643896,-1423.0317606475808,0.0,1769.606442659084,2102.2154208324214,0.0,0.78825,0.8766666666666667,0.0,True,False,True
AlwaysDecrease,severe_stress,OBSERVABLE_ONLY,300,1,300,2535,-3991.0626422087057,-3609.8387526062643,-1668.126670158025,413.6841676573043,2012.3455247950224,69.465313020307,2217.2039533699085,105.73201868077173,3792.9678947894126,4721.746419944737,0.8635065022339257,8.403333333333334,0.0,0.9333333333333333,0.8533333333333334,0.29467455621301775,0.731846187054377,3920.1536197305622,0.6171891341417535,0.6190940160827109,0.0,0.9944773175542406,0.005522682445759369,-0.09944773175542405,-0.09934801418551276,0.09934801418551276,0.0,0,0.0,-0.5304507680568048,-4279.094220984591,-3765.774388402051,0.0,-1829.9460430458382,-1541.0769697646192,0.0,1882.6604578578567,2168.2029397103915,0.0,0.9033333333333333,0.9584166666666666,0.0,True,True,True
AlwaysDecrease20,baseline,OBSERVABLE_ONLY,300,1,300,3716,-2363.526272135968,-2179.144172572943,-779.4278188459028,385.29348836532785,1105.8893872250517,58.831919986179045,1494.144013722069,89.9544395679964,2663.905498272022,2794.780922950109,1.0981219460698393,8.49,0.0,0.7133333333333334,0.8166666666666667,0.18729817007534985,0.4021878556004914,2818.749500148814,0.3942240858022849,0.42627987697858644,0.0,0.6854144241119483,0.3145855758880517,-0.13708288482238962,-0.13376337634155822,0.13376337634155822,0.0,0,0.0,-0.7740089821486579,-2600.6727370175417,-2167.5363421582424,0.0,-929.56630619446,-653.9714378097901,0.0,987.3598611874285,1253.036152882991,0.0,0.6666666666666666,0.7650833333333332,0.0,False,False,False
AlwaysDecrease20,mild_stress,OBSERVABLE_ONLY,300,1,300,3335,-2520.1023318971743,-2315.0854138127015,-887.7298521760283,368.2492334433973,1198.7041730534695,57.27491256595602,1536.9771327268647,95.39534699428147,2785.5961981664946,2921.6027314208145,1.1076498524041583,8.18,0.0,0.7866666666666666,0.8266666666666667,0.22038980509745126,0.43594256932825204,2770.502711217572,0.4501543966804657,0.4649976866246711,0.0,0.735832083958021,0.26416791604197903,-0.1471664167916042,-0.14427244849534132,0.14427244849534132,0.0,0,0.0,-0.7680922563932794,-2745.118472875706,-2323.0652246032264,0.0,-1032.3363440251185,-764.842418202397,0.0,1081.742643898759,1341.776205709793,0.0,0.7415833333333333,0.8333333333333334,0.0,True,False,False
AlwaysDecrease20,oot_markov,OBSERVABLE_ONLY,300,1,300,3656,-2161.671939538514,-1987.3783355397793,-738.2892451325431,337.57529355306247,1023.8997687225321,51.96476996307351,1326.8708125005035,96.51188190546738,2403.3607163320003,2556.7043414253267,1.1114653826365313,8.27,0.0,0.7466666666666667,0.7866666666666666,0.19064551422319476,0.4274118925933208,2493.2624238373346,0.42053943935749827,0.45621175725670804,0.0,0.6786105032822757,0.32138949671772427,-0.13572210065645512,-0.13211477800790478,0.13211477800790478,0.0,0,0.0,-0.7761756381033681,-2338.8625158020227,-1973.6566852303217,0.0,-863.4090427655178,-607.6888741625571,0.0,902.8575639590954,1128.275271939385,0.0,0.7,0.8,0.0,False,False,False
AlwaysDecrease20,recovery,OBSERVABLE_ONLY,300,1,300,2142,-3269.54064152941,-3074.5637317798564,-1514.1211342477652,251.11672197093606,1720.3471913304722,44.89066488822881,1663.916536381019,91.50297090062665,3334.5389134238776,3765.355318380973,1.0260766487297013,5.733333333333333,0.0,0.8933333333333333,0.8233333333333334,0.3188608776844071,0.6256527603594109,3501.3850569819656,0.6197286823895983,0.8358367930038725,0.0,0.8029878618113913,0.19701213818860877,-0.1605975723622782,-0.15879809269611078,0.15879809269611078,0.0,0,0.0,-0.6350424331871488,-3514.0413526639386,-3074.978898581725,0.0,-1671.26056600136,-1383.8875118752853,0.0,1599.9832823245372,1870.8785448955973,0.0,0.8533333333333334,0.9266666666666666,0.0,True,False,True
AlwaysDecrease20,severe_stress,OBSERVABLE_ONLY,300,1,300,2230,-2932.2645268836345,-2700.448105543057,-1280.8395876998673,301.69936204241293,1532.1957272362786,50.343222506001624,1560.0935789445286,91.33136023923919,3162.9267697398554,3423.446592789948,1.0739865489038807,6.723333333333334,0.0,0.9533333333333334,0.85,0.30358744394618836,0.5572261756156899,2922.1787550596537,0.6083440283214893,0.575416318397273,0.0,0.9044843049327355,0.09551569506726458,-0.18089686098654703,-0.17946350561555102,0.17946350561555102,0.0,0,0.0,-0.7225282841210575,-3132.1888309357555,-2742.8572978899774,0.0,-1404.4524344094475,-1179.6401661788004,0.0,1433.0979717184043,1657.2010294480765,0.0,0.92825,0.9733333333333334,0.0,True,False,False
