policy,feature,bucket,decisions,requested_change,effective_change,increase_rate,rejection_rate
BufferedRiskBased,predicted_pd,"(-0.001, 0.2]",1170,0.037863247863247865,0.031087523669043993,0.3247863247863248,0.05384615384615385
BufferedRiskBased,predicted_pd,"(0.2, 0.4]",860,0.0,0.0,0.0,0.0
BufferedRiskBased,predicted_pd,"(0.4, 0.6]",887,-0.0478015783540022,-0.0478015783540022,0.0,0.0
BufferedRiskBased,predicted_pd,"(0.6, 0.8]",704,-0.09928977272727262,-0.09923255731186713,0.0,0.0
BufferedRiskBased,predicted_pd,"(0.8, 1.0]",530,-0.09943396226415081,-0.09936918044795254,0.0,0.0
Decrease20,predicted_pd,"(-0.001, 0.2]",1245,-0.19999999999999993,-0.07624024583055973,0.0,0.0008032128514056225
Decrease20,predicted_pd,"(0.2, 0.4]",753,-0.19999999999999987,-0.13315901052780402,0.0,0.0
Decrease20,predicted_pd,"(0.4, 0.6]",638,-0.19999999999999993,-0.16571787334798693,0.0,0.001567398119122257
Decrease20,predicted_pd,"(0.6, 0.8]",568,-0.19999999999999993,-0.1760748329409612,0.0,0.0
Decrease20,predicted_pd,"(0.8, 1.0]",439,-0.1999999999999999,-0.18215306792771918,0.0,0.0
Greedy,predicted_pd,"(-0.001, 0.2]",1354,0.050147710487444604,0.03784870014322654,0.40620384047267355,0.07311669128508123
Greedy,predicted_pd,"(0.2, 0.4]",961,0.04214360041623309,0.025707548200021295,0.42767950052029136,0.12070759625390219
Greedy,predicted_pd,"(0.4, 0.6]",841,0.017479191438763392,0.004337212156391859,0.33055885850178357,0.10939357907253269
Greedy,predicted_pd,"(0.6, 0.8]",720,0.004166666666666687,-0.007292261962994159,0.2611111111111111,0.10138888888888889
Greedy,predicted_pd,"(0.8, 1.0]",582,-0.002405498281786926,-0.010181493106121367,0.16494845360824742,0.06013745704467354
Myopic,predicted_pd,"(-0.001, 0.2]",1324,0.06495468277945617,0.047890700034148914,0.37990936555891236,0.08534743202416918
Myopic,predicted_pd,"(0.2, 0.4]",950,0.0603157894736842,0.037998669157684406,0.39052631578947367,0.12
Myopic,predicted_pd,"(0.4, 0.6]",852,0.05352112676056337,0.019411031888982463,0.35093896713615025,0.19483568075117372
Myopic,predicted_pd,"(0.6, 0.8]",762,0.04041994750656167,0.005884064245209328,0.2769028871391076,0.2020997375328084
Myopic,predicted_pd,"(0.8, 1.0]",562,0.02793594306049822,-0.007357854662579422,0.16370106761565836,0.2099644128113879
PPO_hard,predicted_pd,"(-0.001, 0.2]",3540,-0.10963276836158183,-0.06365533321601119,0.0,0.0005649717514124294
PPO_hard,predicted_pd,"(0.2, 0.4]",2814,-0.10408670931058984,-0.08456799538897927,0.0,0.0
PPO_hard,predicted_pd,"(0.4, 0.6]",2363,-0.11938214134574687,-0.10918868620676825,0.0,0.00042319085907744394
PPO_hard,predicted_pd,"(0.6, 0.8]",1906,-0.13084994753410273,-0.12288209042550718,0.0,0.0
PPO_hard,predicted_pd,"(0.8, 1.0]",1450,-0.11055172413793096,-0.10423619757457943,0.0,0.0
PPO_penalty,predicted_pd,"(-0.001, 0.2]",3732,-0.1999999999999999,-0.07630153220180617,0.0,0.0
PPO_penalty,predicted_pd,"(0.2, 0.4]",2256,-0.19999999999999993,-0.1332345192195721,0.0,0.0
PPO_penalty,predicted_pd,"(0.4, 0.6]",1920,-0.19999999999999987,-0.16551250499377446,0.0,0.0
PPO_penalty,predicted_pd,"(0.6, 0.8]",1704,-0.1999999999999999,-0.1758571858887045,0.0,0.0
PPO_penalty,predicted_pd,"(0.8, 1.0]",1317,-0.19999999999999993,-0.1821530679277192,0.0,0.0
PPO_unconstrained,predicted_pd,"(-0.001, 0.2]",3732,-0.1999999999999999,-0.07630153220180617,0.0,0.0
PPO_unconstrained,predicted_pd,"(0.2, 0.4]",2256,-0.19999999999999993,-0.1332345192195721,0.0,0.0
PPO_unconstrained,predicted_pd,"(0.4, 0.6]",1920,-0.19999999999999987,-0.16551250499377446,0.0,0.0
PPO_unconstrained,predicted_pd,"(0.6, 0.8]",1704,-0.1999999999999999,-0.1758571858887045,0.0,0.0
PPO_unconstrained,predicted_pd,"(0.8, 1.0]",1317,-0.19999999999999993,-0.1821530679277192,0.0,0.0
RiskBased,predicted_pd,"(-0.001, 0.2]",1170,0.037863247863247865,0.031087523669043993,0.3247863247863248,0.05384615384615385
RiskBased,predicted_pd,"(0.2, 0.4]",860,0.0,0.0,0.0,0.0
RiskBased,predicted_pd,"(0.4, 0.6]",887,-0.0478015783540022,-0.0478015783540022,0.0,0.0
RiskBased,predicted_pd,"(0.6, 0.8]",704,-0.09928977272727262,-0.09923255731186713,0.0,0.0
RiskBased,predicted_pd,"(0.8, 1.0]",530,-0.09943396226415081,-0.09936918044795254,0.0,0.0
Static,predicted_pd,"(-0.001, 0.2]",1175,0.0,0.0,0.0,0.0
Static,predicted_pd,"(0.2, 0.4]",829,0.0,0.0,0.0,0.0
Static,predicted_pd,"(0.4, 0.6]",822,0.0,0.0,0.0,0.0
Static,predicted_pd,"(0.6, 0.8]",780,0.0,0.0,0.0,0.0
Static,predicted_pd,"(0.8, 1.0]",635,0.0,0.0,0.0,0.0
BufferedRiskBased,utilization,"(-0.001, 0.25]",687,0.030713245997088794,0.024600166783834938,0.3173216885007278,0.042212518195050945
BufferedRiskBased,utilization,"(0.25, 0.5]",929,-0.0034445640473627346,-0.007026815810240165,0.12486544671689989,0.03229278794402583
BufferedRiskBased,utilization,"(0.5, 0.75]",729,-0.034156378600823004,-0.034567901234567856,0.04252400548696845,0.00411522633744856
BufferedRiskBased,utilization,"(0.75, 1.0]",1360,-0.05286764705882347,-0.05289273297097241,0.011029411764705883,0.0007352941176470588
BufferedRiskBased,utilization,"(1.0, inf]",446,-0.0937219730941703,-0.09370239718485841,0.0,0.0
Decrease20,utilization,"(-0.001, 0.25]",108,-0.19999999999999987,-0.19999999999999987,0.0,0.0
Decrease20,utilization,"(0.25, 0.5]",262,-0.19999999999999987,-0.19999999999999987,0.0,0.0
Decrease20,utilization,"(0.5, 0.75]",321,-0.19999999999999993,-0.19626168224299056,0.0,0.003115264797507788
Decrease20,utilization,"(0.75, 1.0]",2057,-0.19999999999999987,-0.09473043098737102,0.0,0.0004861448711716091
Decrease20,utilization,"(1.0, inf]",895,-0.19999999999999987,-0.1665151391868285,0.0,0.0
Greedy,utilization,"(-0.001, 0.25]",1153,0.047441457068516914,0.03479109769221776,0.37294015611448394,0.05897658282740677
