macro,policy,from_budget,to_budget,value_change,empirical_value_per_budget
normal,BufferedRiskBased,90.0,150.0,1.0316017481208064,0.017193362468680105
normal,BufferedRiskBased,150.0,240.0,0.10787200474760539,0.0011985778305289487
normal,Decrease20,90.0,150.0,0.0,0.0
normal,Decrease20,150.0,240.0,0.0,0.0
normal,Greedy,90.0,150.0,-142.266893376525,-2.3711148896087497
normal,Greedy,150.0,240.0,-51.1723581575211,-0.5685817573057901
normal,Myopic,90.0,150.0,-103.4538634594877,-1.7242310576581283
normal,Myopic,150.0,240.0,-259.957394987002,-2.8884154998555776
normal,PPO_hard,90.0,150.0,0.224250913084461,0.0037375152180743497
normal,PPO_hard,150.0,240.0,3.309807087961417,0.03677563431068241
normal,PPO_penalty,90.0,150.0,0.0,0.0
normal,PPO_penalty,150.0,240.0,0.0,0.0
normal,PPO_unconstrained,90.0,150.0,0.0,0.0
normal,PPO_unconstrained,150.0,240.0,0.0,0.0
normal,RiskBased,90.0,150.0,1.0316017481208064,0.017193362468680105
normal,RiskBased,150.0,240.0,0.10787200474760539,0.0011985778305289487
normal,Static,90.0,150.0,0.0,0.0
normal,Static,150.0,240.0,0.0,0.0
stress,BufferedRiskBased,90.0,150.0,-4.730882654269408,-0.07884804423782346
stress,BufferedRiskBased,150.0,240.0,3.3425762863018917,0.03713973651446546
stress,Decrease20,90.0,150.0,0.0,0.0
stress,Decrease20,150.0,240.0,0.0,0.0
stress,Greedy,90.0,150.0,-80.04001617809831,-1.334000269634972
stress,Greedy,150.0,240.0,-136.2770086242724,-1.5141889847141379
stress,Myopic,90.0,150.0,-384.01442826310927,-6.400240471051821
stress,Myopic,150.0,240.0,-141.55531658531163,-1.572836850947907
stress,PPO_hard,90.0,150.0,0.29980284863427187,0.004996714143904531
stress,PPO_hard,150.0,240.0,-6.478651028844865,-0.07198501143160961
stress,PPO_penalty,90.0,150.0,0.0,0.0
stress,PPO_penalty,150.0,240.0,0.0,0.0
stress,PPO_unconstrained,90.0,150.0,0.0,0.0
stress,PPO_unconstrained,150.0,240.0,0.0,0.0
stress,RiskBased,90.0,150.0,-4.730882654269408,-0.07884804423782346
stress,RiskBased,150.0,240.0,3.3425762863018917,0.03713973651446546
stress,Static,90.0,150.0,0.0,0.0
stress,Static,150.0,240.0,0.0,0.0
