case,policy,policy_seed,portfolio,value_gap,loss_gap,default_rate_gap
buffer_1.0,PPO_hard,101,0,-417.6999609470266,621.634923708019,-0.08333333333333326
buffer_1.0,PPO_hard,101,1,-354.426444339084,467.2415524568046,0.0
buffer_1.0,PPO_hard,101,2,-367.3980936609978,495.6847577475153,0.08333333333333326
buffer_1.0,PPO_hard,101,3,-441.41973813892173,577.5024697500555,0.0
buffer_1.0,PPO_hard,101,4,-557.8944940500328,681.8629245150698,0.0
buffer_1.0,PPO_hard,101,5,-397.84974349933555,515.4784778696592,-0.08333333333333337
buffer_1.0,PPO_hard,101,6,-499.76828066397024,583.2858552595335,0.0
buffer_1.0,PPO_hard,101,7,-141.43896434693448,346.25779480064796,0.08333333333333326
buffer_1.0,PPO_hard,202,0,-248.3656166512461,475.93451940027626,-0.08333333333333326
buffer_1.0,PPO_hard,202,1,-398.8671893343072,525.274404536229,0.0
buffer_1.0,PPO_hard,202,2,-155.1584928360155,316.6239378484529,0.08333333333333326
buffer_1.0,PPO_hard,202,3,-347.4427642792002,502.90526627520626,0.0
buffer_1.0,PPO_hard,202,4,-123.27101633133088,232.98683027181482,-0.08333333333333337
buffer_1.0,PPO_hard,202,5,-333.21647560294036,411.241335082932,-0.08333333333333337
buffer_1.0,PPO_hard,202,6,-245.90415082280902,370.10081718971355,0.0
buffer_1.0,PPO_hard,202,7,-42.160243730021705,203.58752211414787,0.0
buffer_1.0,PPO_hard,303,0,0.0,0.0,0.0
buffer_1.0,PPO_hard,303,1,0.0,0.0,0.0
buffer_1.0,PPO_hard,303,2,0.0,0.0,0.0
buffer_1.0,PPO_hard,303,3,0.0,0.0,0.0
buffer_1.0,PPO_hard,303,4,0.0,0.0,0.0
buffer_1.0,PPO_hard,303,5,0.0,0.0,0.0
buffer_1.0,PPO_hard,303,6,0.0,0.0,0.0
buffer_1.0,PPO_hard,303,7,0.0,0.0,0.0
buffer_1.0,PPO_penalty,101,0,0.0,0.0,0.0
buffer_1.0,PPO_penalty,101,1,0.0,0.0,0.0
buffer_1.0,PPO_penalty,101,2,0.0,0.0,0.0
buffer_1.0,PPO_penalty,101,3,0.0,0.0,0.0
buffer_1.0,PPO_penalty,101,4,0.0,0.0,0.0
buffer_1.0,PPO_penalty,101,5,8.301371647181668,-8.559404201407233,0.0
buffer_1.0,PPO_penalty,101,6,0.0,0.0,0.0
buffer_1.0,PPO_penalty,101,7,0.0,0.0,0.0
buffer_1.0,PPO_penalty,202,0,0.0,0.0,0.0
buffer_1.0,PPO_penalty,202,1,0.0,0.0,0.0
buffer_1.0,PPO_penalty,202,2,0.0,0.0,0.0
buffer_1.0,PPO_penalty,202,3,0.0,0.0,0.0
buffer_1.0,PPO_penalty,202,4,0.0,0.0,0.0
buffer_1.0,PPO_penalty,202,5,8.301371647181668,-8.559404201407233,0.0
buffer_1.0,PPO_penalty,202,6,0.0,0.0,0.0
buffer_1.0,PPO_penalty,202,7,0.0,0.0,0.0
buffer_1.0,PPO_penalty,303,0,0.0,0.0,0.0
buffer_1.0,PPO_penalty,303,1,0.0,0.0,0.0
buffer_1.0,PPO_penalty,303,2,0.0,0.0,0.0
buffer_1.0,PPO_penalty,303,3,0.0,0.0,0.0
buffer_1.0,PPO_penalty,303,4,0.0,0.0,0.0
buffer_1.0,PPO_penalty,303,5,8.301371647181668,-8.559404201407233,0.0
