case,policy,true_classification_uncertain
buffer_1.0,BufferedRiskBased,0.015625
buffer_1.0,Decrease20,0.013541666666666667
buffer_1.0,Greedy,0.03645833333333333
buffer_1.0,Myopic,0.015625
buffer_1.0,PPO_hard,0.029745370370370366
buffer_1.0,PPO_penalty,0.013541666666666667
buffer_1.0,PPO_unconstrained,0.013541666666666667
buffer_1.0,RiskBased,0.015625
buffer_1.0,Static,0.046875
buffer_1.1,BufferedRiskBased,0.015625
buffer_1.1,Decrease20,0.013541666666666667
buffer_1.1,Greedy,0.026041666666666664
buffer_1.1,Myopic,0.026041666666666664
buffer_1.1,PPO_hard,0.029745370370370366
buffer_1.1,PPO_penalty,0.013541666666666667
buffer_1.1,PPO_unconstrained,0.013541666666666667
buffer_1.1,RiskBased,0.020833333333333332
buffer_1.1,Static,0.046875
buffer_1.25,BufferedRiskBased,0.015625
buffer_1.25,Decrease20,0.013541666666666667
buffer_1.25,Greedy,0.03645833333333333
buffer_1.25,Myopic,0.005208333333333333
buffer_1.25,PPO_hard,0.026273148148148146
buffer_1.25,PPO_penalty,0.013541666666666667
buffer_1.25,PPO_unconstrained,0.013541666666666667
buffer_1.25,RiskBased,0.015625
buffer_1.25,Static,0.046875
constant_budget_stress,BufferedRiskBased,0.017924783549783548
constant_budget_stress,Decrease20,0.014434523809523809
constant_budget_stress,Greedy,0.02827380952380952
constant_budget_stress,Myopic,0.04024621212121212
constant_budget_stress,PPO_hard,0.018954874101932927
constant_budget_stress,PPO_penalty,0.014434523809523807
constant_budget_stress,PPO_unconstrained,0.014434523809523807
constant_budget_stress,RiskBased,0.017924783549783548
constant_budget_stress,Static,0.04132094757094757
normal_loose,BufferedRiskBased,0.005208333333333333
normal_loose,Decrease20,0.005208333333333333
normal_loose,Greedy,0.01736111111111111
normal_loose,Myopic,0.022569444444444444
normal_loose,PPO_hard,0.004629629629629629
normal_loose,PPO_penalty,0.005208333333333333
normal_loose,PPO_unconstrained,0.005208333333333333
normal_loose,RiskBased,0.005208333333333333
normal_loose,Static,0.008680555555555554
normal_medium,BufferedRiskBased,0.010416666666666666
normal_medium,Decrease20,0.010416666666666666
normal_medium,Greedy,0.01736111111111111
normal_medium,Myopic,0.01909722222222222
normal_medium,PPO_hard,0.009837962962962962
normal_medium,PPO_penalty,0.010416666666666666
normal_medium,PPO_unconstrained,0.010416666666666666
normal_medium,RiskBased,0.010416666666666666
normal_medium,Static,0.026041666666666668
normal_tight,BufferedRiskBased,0.03819444444444444
normal_tight,Decrease20,0.026041666666666668
normal_tight,Greedy,0.041666666666666664
normal_tight,Myopic,0.046875
normal_tight,PPO_hard,0.030671296296296294
normal_tight,PPO_penalty,0.026041666666666668
normal_tight,PPO_unconstrained,0.026041666666666668
normal_tight,RiskBased,0.03819444444444444
normal_tight,Static,0.041666666666666664
order_fixed,BufferedRiskBased,0.015625
order_fixed,Decrease20,0.010416666666666666
order_fixed,Greedy,0.005208333333333333
order_fixed,Myopic,0.026041666666666664
order_fixed,PPO_hard,0.010416666666666666
order_fixed,PPO_penalty,0.010416666666666666
order_fixed,PPO_unconstrained,0.010416666666666666
order_fixed,RiskBased,0.015625
order_fixed,Static,0.041666666666666664
order_reverse,BufferedRiskBased,0.015625
order_reverse,Decrease20,0.010416666666666666
