case,policy_seed,portfolio,value_ppo,economic_value_ppo,expected_loss_ppo,value_myopic,economic_value_myopic,expected_loss_myopic,lower_initial_value_higher_total
buffer_1.0,101,0,-1306.1748110166895,657.626498357303,1859.094416377241,-2127.737997699929,658.7320672675684,1916.6089787968767,True
buffer_1.0,101,1,-1195.0935538708875,570.7303373661686,2518.710892360006,-1903.3788010958956,562.1733139510045,2583.145680492088,False
buffer_1.0,101,2,-1274.630815148289,-2895.861904775621,1703.1297438809916,-1516.7667539840097,-2959.125490753533,1770.3604322807062,False
buffer_1.0,101,3,-1995.219641383342,-3284.9931751200534,1993.079682068471,-2514.39192639162,-3307.96190561788,2010.087639284838,False
buffer_1.0,101,4,-1747.0874547669707,577.3293726639938,2287.528171355341,-2801.387645754478,578.6452982852114,2328.386658210813,True
buffer_1.0,101,5,-1533.5416929558055,569.8053997227089,2356.096427989705,-2326.7993883858226,563.1538421030872,2360.8717870678984,False
buffer_1.0,101,6,-1433.2921311675052,618.0250621851285,1599.2787712488082,-2024.334813572176,611.771651634135,1731.6316728652575,False
buffer_1.0,101,7,-631.6604454236441,771.4190266967628,1737.230362090215,-1521.252183429312,761.4919466553063,1801.877266975494,False
buffer_1.0,202,0,-1136.840466720909,653.5186967260976,1730.146270086333,-2127.737997699929,658.7320672675684,1916.6089787968767,True
buffer_1.0,202,1,-1239.5342988661107,566.6034551845307,2483.191213824421,-1903.3788010958956,562.1733139510045,2583.145680492088,False
buffer_1.0,202,2,-1062.3912143233067,-2873.1473889401946,1628.3724406795848,-1516.7667539840097,-2959.125490753533,1770.3604322807062,False
buffer_1.0,202,3,-1901.2426675236204,-3276.0475996053347,1841.9961045077405,-2514.39192639162,-3307.96190561788,2010.087639284838,False
buffer_1.0,202,4,-1312.4639770482688,574.0699205741614,2107.474396892881,-2801.387645754478,578.6452982852114,2328.386658210813,True
buffer_1.0,202,5,-1468.9084250594103,562.5553507310402,2249.382332467981,-2326.7993883858226,563.1538421030872,2360.8717870678984,True
buffer_1.0,202,6,-1179.428001326344,605.1253997534393,1514.244253324115,-2024.334813572176,611.771651634135,1731.6316728652575,True
buffer_1.0,202,7,-532.3817248067313,753.743399079888,1607.2880659708978,-1521.252183429312,761.4919466553063,1801.877266975494,True
buffer_1.0,303,0,-888.4748500696629,653.056902077979,1710.2125746258953,-2127.737997699929,658.7320672675684,1916.6089787968767,True
buffer_1.0,303,1,-840.6671095318035,557.3294986371382,2328.8229967001016,-1903.3788010958956,562.1733139510045,2583.145680492088,True
