name,seed,steps,seconds
pilot_0.5,101,8192,17.64284200000111
pilot_2.0,101,8192,16.63223420002032
pilot_10.0,101,8192,16.379291400080547
PPO_unconstrained,101,24576,49.23951899993699
PPO_unconstrained,202,24576,47.59343380003702
PPO_unconstrained,303,24576,48.00596440001391
PPO_penalty,101,24576,48.19105389993638
PPO_penalty,202,24576,55.49002289993223
PPO_penalty,303,24576,50.8740637000883
PPO_hard,101,24576,47.798408000031486
PPO_hard,202,24576,47.83254780003335
PPO_hard,303,24576,47.385897299973294
