case,policy,metric,mean,lower,upper,portfolio_sd,training_seed_sd
buffer_1.0,BufferedRiskBased,value,-1740.4382654741012,-1986.7247181954183,-1464.444036255936,442.3656103691322,0.0
buffer_1.0,BufferedRiskBased,loss,2263.579031908418,2009.2172649838315,2505.234827680767,394.95041728219167,0.0
buffer_1.0,BufferedRiskBased,default_rate,0.9166666666666666,0.8645833333333333,0.9583333333333333,0.07715167498104596,0.0
buffer_1.0,BufferedRiskBased,el_violation_rate,0.4464285714285714,0.38984375,0.5004650297619047,0.09144221128415009,0.0
buffer_1.0,BufferedRiskBased,true_violation_rate,0.345734126984127,0.28207465277777777,0.4186507936507936,0.1132604613215284,0.0
buffer_1.0,Decrease20,value,-992.3506032608539,-1176.7088994531778,-818.2740639110881,309.6441095432841,0.0
buffer_1.0,Decrease20,loss,1297.0825107941457,1138.45765284578,1482.6488177131619,292.9797623260807,0.0
buffer_1.0,Decrease20,default_rate,0.9270833333333333,0.8854166666666667,0.96875,0.06954358003302334,0.0
buffer_1.0,Decrease20,el_violation_rate,0.17441620879120875,0.09300595238095236,0.2517960164835164,0.13176860576322993,0.0
buffer_1.0,Decrease20,true_violation_rate,0.16908195970695966,0.11267628205128202,0.24031478937728934,0.10035372993691669,0.0
buffer_1.0,Greedy,value,-1892.849556330757,-2140.303800490947,-1661.8370394359342,416.2435908018923,0.0
buffer_1.0,Greedy,loss,2496.669503732155,2273.3384867709146,2727.6338805048426,376.6491000502933,0.0
buffer_1.0,Greedy,default_rate,0.8645833333333333,0.8125,0.90625,0.07634378177607534,0.0
buffer_1.0,Greedy,el_violation_rate,0.5416666666666666,0.46354166666666663,0.625,0.13547388900882193,0.0
buffer_1.0,Greedy,true_violation_rate,0.296875,0.25520833333333326,0.34375,0.07532173056454623,0.0
buffer_1.0,Myopic,value,-2092.006188789155,-2364.566096750671,-1806.9917531402104,452.7466368041191,0.0
buffer_1.0,Myopic,loss,2665.3714367550538,2397.8593840926032,2927.874219999014,420.37678561281814,0.0
buffer_1.0,Myopic,default_rate,0.9270833333333333,0.8958333333333333,0.9583333333333333,0.05340582870513798,0.0
buffer_1.0,Myopic,el_violation_rate,0.484375,0.4114583333333333,0.5600260416666666,0.12186037254507881,0.0
buffer_1.0,Myopic,true_violation_rate,0.3368055555555555,0.28901909722222224,0.39162326388888874,0.08291894323002724,0.0
buffer_1.0,PPO_hard,value,-1203.6956728122777,-1486.2524973097823,-921.9670835570874,361.3426965206331,199.83793342967158
buffer_1.0,PPO_hard,loss,1602.399318661899,1293.694613866556,1918.2156160319328,332.8606989035805,275.7175241738473
buffer_1.0,PPO_hard,default_rate,0.920138888888889,0.8819444444444445,0.9566840277777777,0.05021448704303078,0.012028130608117193
buffer_1.0,PPO_hard,el_violation_rate,0.23556929181929176,0.13708733974358972,0.34210470085470085,0.1228128012663828,0.06560219056014982
buffer_1.0,PPO_hard,true_violation_rate,0.21770324582824582,0.1558209325396825,0.2882552083333333,0.07369479965620296,0.04810645096346793
buffer_1.0,PPO_penalty,value,-991.312931804956,-1189.4661466849138,-820.0544761887621,309.10857110740704,1.3923737144427707e-13
buffer_1.0,PPO_penalty,loss,1296.0125852689698,1147.031658045873,1487.901589413054,292.5047226829567,0.0
buffer_1.0,PPO_penalty,default_rate,0.9270833333333334,0.8854166666666666,0.96875,0.06954358003302334,1.3597399555105182e-16
buffer_1.0,PPO_penalty,el_violation_rate,0.17441620879120875,0.10057892628205126,0.2467748397435897,0.13176860576322993,0.0
buffer_1.0,PPO_penalty,true_violation_rate,0.16908195970695963,0.10851963141025638,0.23733402014652008,0.10035372993691667,3.3993498887762956e-17
buffer_1.0,PPO_unconstrained,value,-991.312931804956,-1189.4661466849138,-820.0544761887621,309.10857110740704,1.3923737144427707e-13
buffer_1.0,PPO_unconstrained,loss,1296.0125852689698,1147.031658045873,1487.901589413054,292.5047226829567,0.0
buffer_1.0,PPO_unconstrained,default_rate,0.9270833333333334,0.8854166666666666,0.96875,0.06954358003302334,1.3597399555105182e-16
buffer_1.0,PPO_unconstrained,el_violation_rate,0.17441620879120875,0.10057892628205126,0.2467748397435897,0.13176860576322993,0.0
buffer_1.0,PPO_unconstrained,true_violation_rate,0.16908195970695963,0.10851963141025638,0.23733402014652008,0.10035372993691667,3.3993498887762956e-17
buffer_1.0,RiskBased,value,-1740.4382654741012,-1986.7247181954183,-1464.444036255936,442.3656103691322,0.0
buffer_1.0,RiskBased,loss,2263.579031908418,2009.2172649838315,2505.234827680767,394.95041728219167,0.0
buffer_1.0,RiskBased,default_rate,0.9166666666666666,0.8645833333333333,0.9583333333333333,0.07715167498104596,0.0
buffer_1.0,RiskBased,el_violation_rate,0.4464285714285714,0.38984375,0.5004650297619047,0.09144221128415009,0.0
buffer_1.0,RiskBased,true_violation_rate,0.345734126984127,0.28207465277777777,0.4186507936507936,0.1132604613215284,0.0
buffer_1.0,Static,value,-2404.0464362572607,-2637.0283179250387,-2150.927340177389,431.5724411499795,0.0
buffer_1.0,Static,loss,3059.2492008722093,2824.8585778555084,3273.9446402880003,371.47113347719227,0.0
buffer_1.0,Static,default_rate,0.875,0.8333333333333333,0.9166666666666666,0.07715167498104594,0.0
buffer_1.0,Static,el_violation_rate,0.6276041666666666,0.5677083333333333,0.6927083333333333,0.09987436304105846,0.0
buffer_1.0,Static,true_violation_rate,0.3880208333333333,0.33333333333333337,0.43489583333333337,0.08692947504127918,0.0
buffer_1.1,BufferedRiskBased,value,-1740.4382654741012,-1986.7247181954183,-1464.444036255936,442.3656103691322,0.0
buffer_1.1,BufferedRiskBased,loss,2263.579031908418,2009.2172649838315,2505.234827680767,394.95041728219167,0.0
buffer_1.1,BufferedRiskBased,default_rate,0.9166666666666666,0.8645833333333333,0.9583333333333333,0.07715167498104596,0.0
buffer_1.1,BufferedRiskBased,el_violation_rate,0.4464285714285714,0.38984375,0.5004650297619047,0.09144221128415009,0.0
buffer_1.1,BufferedRiskBased,true_violation_rate,0.345734126984127,0.28207465277777777,0.4186507936507936,0.1132604613215284,0.0
buffer_1.1,Decrease20,value,-992.3506032608539,-1176.7088994531778,-818.2740639110881,309.6441095432841,0.0
buffer_1.1,Decrease20,loss,1297.0825107941457,1138.45765284578,1482.6488177131619,292.9797623260807,0.0
buffer_1.1,Decrease20,default_rate,0.9270833333333333,0.8854166666666667,0.96875,0.06954358003302334,0.0
buffer_1.1,Decrease20,el_violation_rate,0.41825778388278384,0.31233373397435893,0.5261830357142857,0.1692196471744824,0.0
buffer_1.1,Decrease20,true_violation_rate,0.16908195970695966,0.11267628205128202,0.24031478937728934,0.10035372993691669,0.0
buffer_1.1,Greedy,value,-1802.979778341095,-2066.5138435316217,-1546.391813966804,449.70174675322755,0.0
buffer_1.1,Greedy,loss,2379.306799873313,2137.320602071136,2653.175698834855,413.3689666529642,0.0
buffer_1.1,Greedy,default_rate,0.875,0.84375,0.90625,0.06299407883487118,0.0
buffer_1.1,Greedy,el_violation_rate,0.7239583333333334,0.625,0.828125,0.16507799383206426,0.0
buffer_1.1,Greedy,true_violation_rate,0.28125,0.24479166666666666,0.31770833333333337,0.0620019840952371,0.0
buffer_1.1,Myopic,value,-1764.6539956680904,-1971.1681179391135,-1559.2430846454895,348.82689590267313,0.0
buffer_1.1,Myopic,loss,2300.1980262397647,2114.6769317403314,2497.859422913763,303.7574528781364,0.0
buffer_1.1,Myopic,default_rate,0.9270833333333333,0.8958333333333333,0.9583333333333333,0.05340582870513798,0.0
buffer_1.1,Myopic,el_violation_rate,0.7254464285714286,0.5989583333333333,0.8549479166666667,0.21045896894100227,0.0
buffer_1.1,Myopic,true_violation_rate,0.3387896825396825,0.27951388888888884,0.4086123511904761,0.11094268697574816,0.0
buffer_1.1,PPO_hard,value,-1214.4442556648257,-1504.8678185435374,-935.1115479299851,362.01581904892055,202.73764423756168
buffer_1.1,PPO_hard,loss,1615.756083978796,1299.7719192534212,1935.058774136621,333.1239780333434,282.03049769287253
buffer_1.1,PPO_hard,default_rate,0.920138888888889,0.8819444444444445,0.9566840277777777,0.05021448704303078,0.012028130608117193
buffer_1.1,PPO_hard,el_violation_rate,0.5409238909238909,0.40339781746031744,0.6856394675925924,0.1419885115581615,0.10657203416584539
buffer_1.1,PPO_hard,true_violation_rate,0.21770324582824582,0.1551158043345543,0.2865740740740741,0.07647365588630388,0.04810645096346793
buffer_1.1,PPO_penalty,value,-991.312931804956,-1189.4661466849138,-820.0544761887621,309.10857110740704,1.3923737144427707e-13
buffer_1.1,PPO_penalty,loss,1296.0125852689698,1147.031658045873,1487.901589413054,292.5047226829567,0.0
buffer_1.1,PPO_penalty,default_rate,0.9270833333333334,0.8854166666666666,0.96875,0.06954358003302334,1.3597399555105182e-16
buffer_1.1,PPO_penalty,el_violation_rate,0.41825778388278384,0.31018629807692305,0.522149152930403,0.1692196471744824,0.0
buffer_1.1,PPO_penalty,true_violation_rate,0.16908195970695963,0.10851963141025638,0.23733402014652008,0.10035372993691667,3.3993498887762956e-17
buffer_1.1,PPO_unconstrained,value,-991.312931804956,-1189.4661466849138,-820.0544761887621,309.10857110740704,1.3923737144427707e-13
buffer_1.1,PPO_unconstrained,loss,1296.0125852689698,1147.031658045873,1487.901589413054,292.5047226829567,0.0
buffer_1.1,PPO_unconstrained,default_rate,0.9270833333333334,0.8854166666666666,0.96875,0.06954358003302334,1.3597399555105182e-16
buffer_1.1,PPO_unconstrained,el_violation_rate,0.41825778388278384,0.31018629807692305,0.522149152930403,0.1692196471744824,0.0
buffer_1.1,PPO_unconstrained,true_violation_rate,0.16908195970695963,0.10851963141025638,0.23733402014652008,0.10035372993691667,3.3993498887762956e-17
buffer_1.1,RiskBased,value,-1739.6672482588685,-1987.0644376623723,-1462.1403488958947,444.65327191597424,0.0
buffer_1.1,RiskBased,loss,2262.3043861657884,2006.2471355245277,2504.369678903041,397.92933879501413,0.0
buffer_1.1,RiskBased,default_rate,0.9166666666666666,0.8645833333333333,0.9583333333333333,0.07715167498104596,0.0
