policy,policy_seed,world_id,signal,net_economic_value,cumulative_reward,credit_loss,defaulted,final_balance,final_limit,increases,decreases,reversals
PPO,101,macro_early,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_late,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_prolonged,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_slow_recovery,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,pd_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,pd_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,pd_noise_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,pd_noise_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,pd_over,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,pd_steep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,pd_under,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,macro_unexpected,reporting_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,pd_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,pd_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,pd_noise_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,pd_noise_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,pd_over,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,pd_steep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,pd_under,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,nominal,reporting_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_debt_to_income_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_debt_to_income_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_intercept_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_intercept_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_months_delinquent_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_months_delinquent_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_stress_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_stress_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_utilization_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_default_utilization_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_income_sigma_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_income_sigma_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_missed_delinquency_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_missed_delinquency_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_payment_income_cap_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_payment_income_cap_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_payment_persistence_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_payment_persistence_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_spend_limit_elasticity_high,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_dynamics_spend_limit_elasticity_low,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,oat_reference,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,random_000,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,random_000,pd_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,random_000,pd_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,random_000,pd_noise_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,random_000,pd_noise_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,random_000,pd_over,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,random_000,pd_steep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,101,random_000,pd_under,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
