policy,metric,threshold,worlds,violation_frequency,mean_excess,mean_excess_when_violated,worst_excess
AlwaysDecrease,default_rate,0.75,32,0.8125,0.07763671875,0.09555288461538461,0.171875
AlwaysDecrease,credit_loss_rate,0.7,32,0.0,0.0,0.0,0.0
AlwaysDecrease,high_risk_exposure_share,0.6,32,0.0,0.0,0.0,0.0
AlwaysDecrease20,default_rate,0.75,32,1.0,0.09716796875,0.09716796875,0.234375
AlwaysDecrease20,credit_loss_rate,0.7,32,0.0,0.0,0.0,0.0
AlwaysDecrease20,high_risk_exposure_share,0.6,32,0.0,0.0,0.0,0.0
AlwaysIncrease,default_rate,0.75,32,0.375,0.021484375,0.057291666666666664,0.09375
AlwaysIncrease,credit_loss_rate,0.7,32,1.0,0.29991193459361676,0.29991193459361676,0.45735345038874864
AlwaysIncrease,high_risk_exposure_share,0.6,32,0.0625,0.001399238997864264,0.022387823965828224,0.028547051258091427
MyopicEconomic,default_rate,0.75,32,0.34375,0.0205078125,0.05965909090909091,0.09375
MyopicEconomic,credit_loss_rate,0.7,32,0.9375,0.1531970169720987,0.16341015143690535,0.30353191156021997
MyopicEconomic,high_risk_exposure_share,0.6,32,0.03125,0.00012456299441592628,0.003986015821309641,0.003986015821309641
PDThreshold,default_rate,0.75,32,0.65625,0.052734375,0.08035714285714286,0.140625
PDThreshold,credit_loss_rate,0.7,32,0.0625,0.00038289952471637703,0.0061263923954620325,0.01174039502104507
PDThreshold,high_risk_exposure_share,0.6,32,0.0,0.0,0.0,0.0
PPO,default_rate,0.75,32,1.0,0.09716796875,0.09716796875,0.234375
PPO,credit_loss_rate,0.7,32,0.0,0.0,0.0,0.0
PPO,high_risk_exposure_share,0.6,32,0.0,0.0,0.0,0.0
PPO_without_PD,default_rate,0.75,32,1.0,0.09716796875,0.09716796875,0.234375
PPO_without_PD,credit_loss_rate,0.7,32,0.0,0.0,0.0,0.0
PPO_without_PD,high_risk_exposure_share,0.6,32,0.0,0.0,0.0,0.0
Random,default_rate,0.75,32,0.71875,0.05712890625,0.07948369565217392,0.15625
Random,credit_loss_rate,0.7,32,0.90625,0.12482480788211767,0.13773771904233673,0.22285329134856813
Random,high_risk_exposure_share,0.6,32,0.0,0.0,0.0,0.0
SIMULATOR_ONLY_ORACLE_Myopic,default_rate,0.75,32,0.3125,0.02197265625,0.0703125,0.09375
SIMULATOR_ONLY_ORACLE_Myopic,credit_loss_rate,0.7,32,0.65625,0.09473059177525528,0.14435137794324615,0.2710042186412386
SIMULATOR_ONLY_ORACLE_Myopic,high_risk_exposure_share,0.6,32,0.0,0.0,0.0,0.0
Static,default_rate,0.75,32,0.75,0.0546875,0.07291666666666667,0.15625
Static,credit_loss_rate,0.7,32,1.0,0.18912615233284277,0.18912615233284277,0.29764397398492604
Static,high_risk_exposure_share,0.6,32,0.0625,0.0011997132519056992,0.019195412030491188,0.037927666350492606
UtilizationPD,default_rate,0.75,32,0.71875,0.0595703125,0.08288043478260869,0.15625
UtilizationPD,credit_loss_rate,0.7,32,0.125,0.0008580995805706482,0.006864796644565185,0.01416551218196671
UtilizationPD,high_risk_exposure_share,0.6,32,0.0,0.0,0.0,0.0
