policy,metric,worlds,mean,median,std,p10,p25,p75,p90,worst,worst_world,information_set
AlwaysDecrease,net_economic_value,32,-963.8700989549325,-959.3825671009473,188.37030224760034,-1232.2512151863812,-1045.0971893564692,-843.6459333839238,-722.6730546327024,-1393.582802575697,random_021,OBSERVABLE_ONLY
AlwaysDecrease,default_rate,32,0.82421875,0.828125,0.06688263070725149,0.7359375,0.765625,0.87890625,0.90625,0.921875,random_003,OBSERVABLE_ONLY
AlwaysDecrease,credit_loss,32,1440.8208502807502,1437.4659413158074,147.2131237382567,1267.142375552131,1338.8314219602125,1511.1694602786338,1651.4313308633177,1781.066671503448,random_021,OBSERVABLE_ONLY
AlwaysDecrease,credit_loss_rate,32,0.5084911413049704,0.5073071346408347,0.05195411302532848,0.44719693820008494,0.47249726961880867,0.5333184090253618,0.5828193019651595,0.6285699046877077,random_021,OBSERVABLE_ONLY
AlwaysDecrease,high_risk_exposure_share,32,0.39039835525287087,0.3846450267315477,0.06281321537796897,0.3045061217596776,0.3532280966917145,0.4283716190469707,0.4800553003487971,0.5237953805024843,random_022,OBSERVABLE_ONLY
AlwaysDecrease,cumulative_reward,32,-3266.5626764530007,-3265.5869472557174,225.65112815381323,-3583.4998620753618,-3385.6669191563583,-3086.9701708422344,-2997.972247581669,-3760.865318686054,random_021,OBSERVABLE_ONLY
AlwaysDecrease20,net_economic_value,32,-810.511476390055,-777.263679832874,134.5282194254851,-972.2231307431332,-865.4374994540227,-719.4086975414799,-675.3577015903244,-1185.9796975529998,random_021,OBSERVABLE_ONLY
AlwaysDecrease20,default_rate,32,0.84716796875,0.828125,0.05276120322644488,0.796875,0.8125,0.875,0.9203125000000001,0.984375,random_021,OBSERVABLE_ONLY
AlwaysDecrease20,credit_loss,32,1120.1783311479408,1089.7546505037008,116.18893236174851,1008.4764805875334,1042.4057497873341,1162.8378732173219,1276.9340877789582,1441.3409719185859,random_028,OBSERVABLE_ONLY
AlwaysDecrease20,credit_loss_rate,32,0.3953307296736608,0.38459367510475095,0.041005127606335866,0.3559091725340129,0.3678834112575075,0.410386035980604,0.4506526064912393,0.5086747014229329,random_028,OBSERVABLE_ONLY
AlwaysDecrease20,high_risk_exposure_share,32,0.374394419840275,0.36726859271006995,0.05895616412036354,0.30706082636271764,0.3278348235959654,0.4020385092842446,0.4676421326615243,0.5191615704878981,random_022,OBSERVABLE_ONLY
AlwaysDecrease20,cumulative_reward,32,-2323.2502664499543,-2287.5266812660666,190.12133845357477,-2664.506064596177,-2394.6138569092336,-2206.860118226141,-2113.84380966407,-2743.6065711618066,random_022,OBSERVABLE_ONLY
AlwaysIncrease,net_economic_value,32,-1983.7213598653127,-1993.6969821665477,331.9612744971336,-2416.347652241852,-2249.6781958071488,-1649.538758643732,-1574.1787647838526,-2521.242475278223,random_021,OBSERVABLE_ONLY
AlwaysIncrease,default_rate,32,0.71484375,0.7109375,0.08362683529014572,0.625,0.65234375,0.78125,0.8421875000000001,0.84375,random_003,OBSERVABLE_ONLY
AlwaysIncrease,credit_loss,32,2833.272493419862,2832.9374939900517,273.8336198183689,2496.171994442767,2574.748478379125,3057.889984805035,3171.882788148866,3279.3864966555257,random_007,OBSERVABLE_ONLY
AlwaysIncrease,credit_loss_rate,32,0.9999119345936168,0.9997937073744815,0.09664072382210591,0.88094321101779,0.908674240860081,1.0791834169081949,1.119413491772508,1.1573534503887486,random_007,OBSERVABLE_ONLY
AlwaysIncrease,high_risk_exposure_share,32,0.515414665762516,0.5087009452828486,0.055126732617397395,0.45600633853606215,0.4702798903127814,0.5527984368300035,0.5927733065752054,0.6285470512580914,random_022,OBSERVABLE_ONLY
AlwaysIncrease,cumulative_reward,32,-6575.912695646518,-6492.096459714043,596.8889989285291,-7545.022198675319,-6914.599344992907,-6137.939367433609,-5848.850106193299,-7718.157382441111,random_001,OBSERVABLE_ONLY
MyopicEconomic,net_economic_value,32,-1587.1547784408338,-1544.2367186420165,362.2181205821689,-2054.988055508852,-1910.3363681099909,-1297.833695331747,-1177.7536819828667,-2228.126422793734,random_021,OBSERVABLE_ONLY
MyopicEconomic,default_rate,32,0.70458984375,0.703125,0.09165668451842605,0.609375,0.625,0.76953125,0.8421875000000001,0.84375,random_003,OBSERVABLE_ONLY
MyopicEconomic,credit_loss,32,2413.601626521009,2389.049157909125,292.9718727084719,2037.135401903732,2182.0008894604052,2651.285061948554,2806.2826796807617,2843.5297778980785,random_007,OBSERVABLE_ONLY
MyopicEconomic,credit_loss_rate,32,0.8518026689342099,0.8431376688518759,0.10339495149223944,0.7189410850800398,0.7700666758077422,0.9356853538122699,0.9903867523413405,1.00353191156022,random_007,OBSERVABLE_ONLY
MyopicEconomic,high_risk_exposure_share,32,0.4871013267093461,0.4740331996746515,0.05440985544795562,0.4298755388131835,0.44460990712128023,0.5165878251656681,0.5691965236918773,0.6039860158213096,random_021,OBSERVABLE_ONLY
MyopicEconomic,cumulative_reward,32,-5859.177654482846,-5749.654175152709,500.82883168555486,-6614.265912932917,-6154.493394598277,-5534.576258416485,-5312.404015815879,-7126.080227633118,random_001,OBSERVABLE_ONLY
PDThreshold,net_economic_value,32,-1158.8984652600088,-1168.402712214233,212.79741675091938,-1394.0067113601172,-1352.888425229436,-1039.4399904640634,-904.2492263192946,-1546.2971148831657,random_021,OBSERVABLE_ONLY
PDThreshold,default_rate,32,0.791015625,0.796875,0.06661716387071293,0.71875,0.74609375,0.84765625,0.8734375000000001,0.890625,random_003,OBSERVABLE_ONLY
PDThreshold,credit_loss,32,1763.3619239655718,1793.8645691238628,169.44884912775916,1539.2800000252003,1642.3326465496034,1885.4338737089365,1965.1110812041284,2016.7320879998097,random_021,OBSERVABLE_ONLY
PDThreshold,credit_loss_rate,32,0.622321586390331,0.6330865089317681,0.059801493481301794,0.5432391152919632,0.5796082154722395,0.6654029347996293,0.6935224294386252,0.711740395021045,random_021,OBSERVABLE_ONLY
PDThreshold,high_risk_exposure_share,32,0.4036676739229864,0.39786860741283003,0.051970871338679996,0.33636961807137994,0.3735317807671399,0.41768371461184656,0.4678231247230152,0.5357725723550116,random_021,OBSERVABLE_ONLY
