policy,reference,point_dominance,interval_supported_dominance
AlwaysDecrease,AlwaysDecrease20,False,False
AlwaysDecrease,AlwaysIncrease,False,False
AlwaysDecrease,MyopicEconomic,False,False
AlwaysDecrease,PDThreshold,False,False
AlwaysDecrease,PPO,False,False
AlwaysDecrease,PPO_without_PD,False,False
AlwaysDecrease,Random,False,False
AlwaysDecrease,Static,False,False
AlwaysDecrease,UtilizationPD,False,False
AlwaysDecrease20,AlwaysDecrease,False,False
AlwaysDecrease20,AlwaysIncrease,False,False
AlwaysDecrease20,MyopicEconomic,False,False
AlwaysDecrease20,PDThreshold,False,False
AlwaysDecrease20,PPO,False,False
AlwaysDecrease20,PPO_without_PD,False,False
AlwaysDecrease20,Random,False,False
AlwaysDecrease20,Static,False,False
AlwaysDecrease20,UtilizationPD,False,False
AlwaysIncrease,AlwaysDecrease,False,False
AlwaysIncrease,AlwaysDecrease20,False,False
AlwaysIncrease,MyopicEconomic,False,False
AlwaysIncrease,PDThreshold,False,False
AlwaysIncrease,PPO,False,False
AlwaysIncrease,PPO_without_PD,False,False
AlwaysIncrease,Random,False,False
AlwaysIncrease,Static,False,False
AlwaysIncrease,UtilizationPD,False,False
MyopicEconomic,AlwaysDecrease,False,False
MyopicEconomic,AlwaysDecrease20,False,False
MyopicEconomic,AlwaysIncrease,True,True
MyopicEconomic,PDThreshold,False,False
MyopicEconomic,PPO,False,False
MyopicEconomic,PPO_without_PD,False,False
MyopicEconomic,Random,True,False
MyopicEconomic,Static,True,False
MyopicEconomic,UtilizationPD,False,False
PDThreshold,AlwaysDecrease,False,False
PDThreshold,AlwaysDecrease20,False,False
PDThreshold,AlwaysIncrease,False,False
PDThreshold,MyopicEconomic,False,False
PDThreshold,PPO,False,False
PDThreshold,PPO_without_PD,False,False
PDThreshold,Random,True,False
PDThreshold,Static,False,False
PDThreshold,UtilizationPD,True,False
PPO,AlwaysDecrease,False,False
PPO,AlwaysDecrease20,False,False
PPO,AlwaysIncrease,False,False
PPO,MyopicEconomic,False,False
PPO,PDThreshold,False,False
PPO,PPO_without_PD,False,False
PPO,Random,False,False
PPO,Static,False,False
PPO,UtilizationPD,False,False
PPO_without_PD,AlwaysDecrease,False,False
PPO_without_PD,AlwaysDecrease20,False,False
PPO_without_PD,AlwaysIncrease,False,False
PPO_without_PD,MyopicEconomic,False,False
PPO_without_PD,PDThreshold,False,False
PPO_without_PD,PPO,False,False
PPO_without_PD,Random,False,False
PPO_without_PD,Static,False,False
PPO_without_PD,UtilizationPD,False,False
Random,AlwaysDecrease,False,False
Random,AlwaysDecrease20,False,False
Random,AlwaysIncrease,False,False
Random,MyopicEconomic,False,False
Random,PDThreshold,False,False
Random,PPO,False,False
Random,PPO_without_PD,False,False
Random,Static,False,False
Random,UtilizationPD,False,False
Static,AlwaysDecrease,False,False
Static,AlwaysDecrease20,False,False
Static,AlwaysIncrease,False,False
Static,MyopicEconomic,False,False
Static,PDThreshold,False,False
Static,PPO,False,False
Static,PPO_without_PD,False,False
Static,Random,False,False
Static,UtilizationPD,False,False
UtilizationPD,AlwaysDecrease,False,False
UtilizationPD,AlwaysDecrease20,False,False
UtilizationPD,AlwaysIncrease,False,False
UtilizationPD,MyopicEconomic,False,False
UtilizationPD,PDThreshold,False,False
UtilizationPD,PPO,False,False
UtilizationPD,PPO_without_PD,False,False
UtilizationPD,Random,False,False
UtilizationPD,Static,False,False
