policy,policy_seed,customer_id,feature,direction,action_changed,absolute_action_jump
Static,-1,ROBUST_TEST_000000,pd,-1,0,0.0
Static,-1,ROBUST_TEST_000000,pd,1,0,0.0
Static,-1,ROBUST_TEST_000000,income,-1,0,0.0
Static,-1,ROBUST_TEST_000000,income,1,0,0.0
Static,-1,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
Static,-1,ROBUST_TEST_000000,balance_utilization,1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000000,pd,-1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000000,pd,1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000000,income,-1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000000,income,1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000000,balance_utilization,1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000000,pd,-1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000000,pd,1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000000,income,-1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000000,income,1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PDThreshold,-1,ROBUST_TEST_000000,pd,-1,0,0.0
PDThreshold,-1,ROBUST_TEST_000000,pd,1,0,0.0
PDThreshold,-1,ROBUST_TEST_000000,income,-1,0,0.0
PDThreshold,-1,ROBUST_TEST_000000,income,1,0,0.0
PDThreshold,-1,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PDThreshold,-1,ROBUST_TEST_000000,balance_utilization,1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000000,pd,-1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000000,pd,1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000000,income,-1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000000,income,1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000000,balance_utilization,1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000000,pd,-1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000000,pd,1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000000,income,-1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000000,income,1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO,101,ROBUST_TEST_000000,pd,-1,0,0.0
PPO,101,ROBUST_TEST_000000,pd,1,0,0.0
PPO,101,ROBUST_TEST_000000,income,-1,0,0.0
PPO,101,ROBUST_TEST_000000,income,1,0,0.0
PPO,101,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO,101,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO,202,ROBUST_TEST_000000,pd,-1,0,0.0
PPO,202,ROBUST_TEST_000000,pd,1,0,0.0
PPO,202,ROBUST_TEST_000000,income,-1,0,0.0
PPO,202,ROBUST_TEST_000000,income,1,0,0.0
PPO,202,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO,202,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO,303,ROBUST_TEST_000000,pd,-1,0,0.0
PPO,303,ROBUST_TEST_000000,pd,1,0,0.0
PPO,303,ROBUST_TEST_000000,income,-1,0,0.0
PPO,303,ROBUST_TEST_000000,income,1,0,0.0
PPO,303,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO,303,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO,404,ROBUST_TEST_000000,pd,-1,0,0.0
PPO,404,ROBUST_TEST_000000,pd,1,0,0.0
PPO,404,ROBUST_TEST_000000,income,-1,0,0.0
PPO,404,ROBUST_TEST_000000,income,1,0,0.0
PPO,404,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO,404,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO,505,ROBUST_TEST_000000,pd,-1,0,0.0
PPO,505,ROBUST_TEST_000000,pd,1,0,0.0
PPO,505,ROBUST_TEST_000000,income,-1,0,0.0
PPO,505,ROBUST_TEST_000000,income,1,0,0.0
PPO,505,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO,505,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000000,pd,-1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000000,pd,1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000000,income,-1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000000,income,1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO_without_PD,101,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000000,pd,-1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000000,pd,1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000000,income,-1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000000,income,1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO_without_PD,202,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000000,pd,-1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000000,pd,1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000000,income,-1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000000,income,1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO_without_PD,303,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000000,pd,-1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000000,pd,1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000000,income,-1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000000,income,1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO_without_PD,404,ROBUST_TEST_000000,balance_utilization,1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000000,pd,-1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000000,pd,1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000000,income,-1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000000,income,1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000000,balance_utilization,-1,0,0.0
PPO_without_PD,505,ROBUST_TEST_000000,balance_utilization,1,0,0.0
Static,-1,ROBUST_TEST_000001,pd,-1,0,0.0
Static,-1,ROBUST_TEST_000001,pd,1,0,0.0
Static,-1,ROBUST_TEST_000001,income,-1,0,0.0
Static,-1,ROBUST_TEST_000001,income,1,0,0.0
Static,-1,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
Static,-1,ROBUST_TEST_000001,balance_utilization,1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000001,pd,-1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000001,pd,1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000001,income,-1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000001,income,1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
AlwaysDecrease,-1,ROBUST_TEST_000001,balance_utilization,1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000001,pd,-1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000001,pd,1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000001,income,-1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000001,income,1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
AlwaysDecrease20,-1,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PDThreshold,-1,ROBUST_TEST_000001,pd,-1,0,0.0
PDThreshold,-1,ROBUST_TEST_000001,pd,1,0,0.0
PDThreshold,-1,ROBUST_TEST_000001,income,-1,0,0.0
PDThreshold,-1,ROBUST_TEST_000001,income,1,0,0.0
PDThreshold,-1,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PDThreshold,-1,ROBUST_TEST_000001,balance_utilization,1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000001,pd,-1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000001,pd,1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000001,income,-1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000001,income,1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
UtilizationPD,-1,ROBUST_TEST_000001,balance_utilization,1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000001,pd,-1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000001,pd,1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000001,income,-1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000001,income,1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
MyopicEconomic,-1,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO,101,ROBUST_TEST_000001,pd,-1,0,0.0
PPO,101,ROBUST_TEST_000001,pd,1,0,0.0
PPO,101,ROBUST_TEST_000001,income,-1,0,0.0
PPO,101,ROBUST_TEST_000001,income,1,0,0.0
PPO,101,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO,101,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO,202,ROBUST_TEST_000001,pd,-1,0,0.0
PPO,202,ROBUST_TEST_000001,pd,1,0,0.0
PPO,202,ROBUST_TEST_000001,income,-1,0,0.0
PPO,202,ROBUST_TEST_000001,income,1,0,0.0
PPO,202,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO,202,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO,303,ROBUST_TEST_000001,pd,-1,0,0.0
PPO,303,ROBUST_TEST_000001,pd,1,0,0.0
PPO,303,ROBUST_TEST_000001,income,-1,0,0.0
PPO,303,ROBUST_TEST_000001,income,1,0,0.0
PPO,303,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO,303,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO,404,ROBUST_TEST_000001,pd,-1,0,0.0
PPO,404,ROBUST_TEST_000001,pd,1,0,0.0
PPO,404,ROBUST_TEST_000001,income,-1,0,0.0
PPO,404,ROBUST_TEST_000001,income,1,0,0.0
PPO,404,ROBUST_TEST_000001,balance_utilization,-1,0,0.0
PPO,404,ROBUST_TEST_000001,balance_utilization,1,0,0.0
PPO,505,ROBUST_TEST_000001,pd,-1,0,0.0
PPO,505,ROBUST_TEST_000001,pd,1,0,0.0
PPO,505,ROBUST_TEST_000001,income,-1,0,0.0
PPO,505,ROBUST_TEST_000001,income,1,0,0.0
