world_id,policy,parameter,endpoint,parameter_value,value,delta_static,delta_myopic
oat_default_debt_to_income_high,AlwaysDecrease,default.debt_to_income,high,0.65,-1010.6843223920393,844.5738284147121,567.3147191882283
oat_default_debt_to_income_high,AlwaysDecrease20,default.debt_to_income,high,0.65,-821.2796674160745,1033.978483390677,756.7193741641931
oat_default_debt_to_income_high,AlwaysIncrease,default.debt_to_income,high,0.65,-2066.7811609112982,-211.52301010454676,-488.7821193310306
oat_default_debt_to_income_high,MyopicEconomic,default.debt_to_income,high,0.65,-1577.9990415802677,277.2591092264838,0.0
oat_default_debt_to_income_high,PDThreshold,default.debt_to_income,high,0.65,-1220.9541185721318,634.3040322346196,357.0449230081358
oat_default_debt_to_income_high,PPO,default.debt_to_income,high,0.65,-821.2796674160745,1033.978483390677,756.7193741641931
oat_default_debt_to_income_high,PPO_without_PD,default.debt_to_income,high,0.65,-821.2796674160745,1033.978483390677,756.7193741641931
oat_default_debt_to_income_high,Random,default.debt_to_income,high,0.65,-1702.3574937226256,152.9006570841259,-124.35845214235792
oat_default_debt_to_income_high,SIMULATOR_ONLY_ORACLE_Myopic,default.debt_to_income,high,0.65,-1644.77395814279,210.4841926639615,-66.77491656252232
oat_default_debt_to_income_high,Static,default.debt_to_income,high,0.65,-1855.2581508067515,0.0,-277.2591092264838
oat_default_debt_to_income_high,UtilizationPD,default.debt_to_income,high,0.65,-1207.71046121145,647.5476895953016,370.28858036881775
oat_default_debt_to_income_low,AlwaysDecrease,default.debt_to_income,low,0.3,-834.6898743920121,838.0612732183347,725.783795327136
oat_default_debt_to_income_low,AlwaysDecrease20,default.debt_to_income,low,0.3,-745.8401190035672,926.9110286067796,814.6335507155809
oat_default_debt_to_income_low,AlwaysIncrease,default.debt_to_income,low,0.3,-1986.883738604176,-314.1325909938291,-426.41006888502784
oat_default_debt_to_income_low,MyopicEconomic,default.debt_to_income,low,0.3,-1560.4736697191481,112.27747789119871,0.0
oat_default_debt_to_income_low,PDThreshold,default.debt_to_income,low,0.3,-1000.8405367752616,671.9106108350852,559.6331329438865
oat_default_debt_to_income_low,PPO,default.debt_to_income,low,0.3,-745.8401190035672,926.9110286067796,814.6335507155809
oat_default_debt_to_income_low,PPO_without_PD,default.debt_to_income,low,0.3,-745.8401190035672,926.9110286067796,814.6335507155809
oat_default_debt_to_income_low,Random,default.debt_to_income,low,0.3,-1540.7440067142197,132.0071408961271,19.729663004928398
oat_default_debt_to_income_low,SIMULATOR_ONLY_ORACLE_Myopic,default.debt_to_income,low,0.3,-1404.3312406874118,268.41990692293507,156.14242903173636
oat_default_debt_to_income_low,Static,default.debt_to_income,low,0.3,-1672.7511476103468,0.0,-112.27747789119871
