policy,reference,metric,difference,lower,upper
AlwaysDecrease,AlwaysDecrease20,net_economic_value,-153.35862256487752,-249.02794216970307,-48.9790861456825
AlwaysDecrease,AlwaysDecrease20,credit_loss,320.6425191328096,237.31079203141323,401.0190123870592
AlwaysDecrease,AlwaysDecrease20,defaulted,-0.02294921875,-0.051306152343749994,0.003430175781249989
AlwaysDecrease,AlwaysIncrease,net_economic_value,1019.8512609103802,608.2262319854347,1442.8532143450884
AlwaysDecrease,AlwaysIncrease,credit_loss,-1392.4516431391119,-1804.248663110148,-1024.9544826204703
AlwaysDecrease,AlwaysIncrease,defaulted,0.109375,0.0658935546875,0.16212158203125
AlwaysDecrease,MyopicEconomic,net_economic_value,623.2846794859013,274.92490480633415,991.6000864645641
AlwaysDecrease,MyopicEconomic,credit_loss,-972.7807762402588,-1337.5551502450155,-631.6610187591143
AlwaysDecrease,MyopicEconomic,defaulted,0.11962890625,0.07666015625,0.17342529296874992
AlwaysDecrease,PDThreshold,net_economic_value,195.02836630507636,74.52635559205713,326.1534990641287
AlwaysDecrease,PDThreshold,credit_loss,-322.5410736848218,-458.45139327685825,-191.61913506348805
AlwaysDecrease,PDThreshold,defaulted,0.033203125,0.00830078125,0.06885986328124999
AlwaysDecrease,PPO,net_economic_value,-153.3586225648775,-261.3941404246844,-60.7979401461234
AlwaysDecrease,PPO,credit_loss,320.6425191328096,241.0982689521352,409.5079753523496
AlwaysDecrease,PPO,defaulted,-0.02294921875,-0.049365234375,0.00146484375
AlwaysDecrease,PPO_without_PD,net_economic_value,-153.3586225648775,-261.3941404246844,-60.7979401461234
AlwaysDecrease,PPO_without_PD,credit_loss,320.6425191328096,241.0982689521352,409.5079753523496
AlwaysDecrease,PPO_without_PD,defaulted,-0.02294921875,-0.049365234375,0.00146484375
AlwaysDecrease,Random,net_economic_value,668.088419839491,425.34228496780594,970.4607418142133
AlwaysDecrease,Random,credit_loss,-890.2354691471363,-1187.8821782857653,-621.4386521375449
AlwaysDecrease,Random,defaulted,0.0302734375,-0.0005004882812499993,0.06643066406249998
AlwaysDecrease,Static,net_economic_value,820.127280477217,582.4163792244593,1072.2867939950645
AlwaysDecrease,Static,credit_loss,-1078.5376886376862,-1323.720919531302,-848.0753860173965
AlwaysDecrease,Static,defaulted,0.03515625,0.005847167968750001,0.07080078125
AlwaysDecrease,UtilizationPD,net_economic_value,207.73400603296605,86.14425126562035,338.4017543916481
AlwaysDecrease,UtilizationPD,credit_loss,-331.65043028796373,-466.0730397698202,-200.5229096137005
