policy,parameter,spearman
AlwaysDecrease,dynamics.spend_limit_elasticity,-0.11730205278592375
AlwaysDecrease,dynamics.income_sigma,-0.29545454545454547
AlwaysDecrease,dynamics.payment_persistence,-0.30388563049853373
AlwaysDecrease,dynamics.missed_delinquency,-0.02602639296187683
AlwaysDecrease,dynamics.payment_income_cap,0.05278592375366568
AlwaysDecrease,default.intercept,0.013563049853372432
AlwaysDecrease,default.utilization,0.08064516129032258
AlwaysDecrease,default.months_delinquent,-0.21847507331378296
AlwaysDecrease,default.debt_to_income,-0.31598240469208205
AlwaysDecrease,default.stress,-0.056818181818181816
AlwaysDecrease,macro_onset,0.3549667672716691
AlwaysDecrease,macro_duration,0.019206734620631324
AlwaysDecrease,macro_recovery,0.23296266725965178
AlwaysDecrease,macro_intensity,-0.5579178885630498
AlwaysDecrease20,dynamics.spend_limit_elasticity,0.14552785923753664
AlwaysDecrease20,dynamics.income_sigma,-0.2346041055718475
AlwaysDecrease20,dynamics.payment_persistence,0.20857771260997066
AlwaysDecrease20,dynamics.missed_delinquency,-0.018695014662756596
AlwaysDecrease20,dynamics.payment_income_cap,0.23753665689149558
AlwaysDecrease20,default.intercept,0.08027859237536657
AlwaysDecrease20,default.utilization,-0.18841642228739003
AlwaysDecrease20,default.months_delinquent,-0.13526392961876832
AlwaysDecrease20,default.debt_to_income,-0.093841642228739
AlwaysDecrease20,default.stress,0.16055718475073313
AlwaysDecrease20,macro_onset,0.5630187921391453
AlwaysDecrease20,macro_duration,0.16894467540089303
AlwaysDecrease20,macro_recovery,0.11478774396477186
AlwaysDecrease20,macro_intensity,-0.40799120234604097
AlwaysIncrease,dynamics.spend_limit_elasticity,-0.03372434017595308
AlwaysIncrease,dynamics.income_sigma,-0.26722873900293254
AlwaysIncrease,dynamics.payment_persistence,-0.22727272727272727
AlwaysIncrease,dynamics.missed_delinquency,0.0971407624633431
AlwaysIncrease,dynamics.payment_income_cap,-0.09347507331378298
AlwaysIncrease,default.intercept,0.10703812316715541
AlwaysIncrease,default.utilization,0.009530791788856303
AlwaysIncrease,default.months_delinquent,0.08724340175953077
AlwaysIncrease,default.debt_to_income,-0.01319648093841642
AlwaysIncrease,default.stress,-0.22727272727272727
AlwaysIncrease,macro_onset,-0.2951263362545766
AlwaysIncrease,macro_duration,-0.5866445351117102
AlwaysIncrease,macro_recovery,-0.20285440654758044
AlwaysIncrease,macro_intensity,-0.5201612903225806
MyopicEconomic,dynamics.spend_limit_elasticity,0.07697947214076245
MyopicEconomic,dynamics.income_sigma,-0.29838709677419356
MyopicEconomic,dynamics.payment_persistence,-0.11840175953079178
MyopicEconomic,dynamics.missed_delinquency,0.13526392961876832
MyopicEconomic,dynamics.payment_income_cap,-0.15615835777126097
MyopicEconomic,default.intercept,0.06011730205278592
MyopicEconomic,default.utilization,-0.04802052785923753
MyopicEconomic,default.months_delinquent,0.10373900293255131
MyopicEconomic,default.debt_to_income,-0.04875366568914955
MyopicEconomic,default.stress,-0.17375366568914952
MyopicEconomic,macro_onset,-0.3253244485015923
MyopicEconomic,macro_duration,-0.639975856485502
MyopicEconomic,macro_recovery,-0.22919913467064282
MyopicEconomic,macro_intensity,-0.5909090909090909
PDThreshold,dynamics.spend_limit_elasticity,-0.001099706744868035
PDThreshold,dynamics.income_sigma,-0.25036656891495596
PDThreshold,dynamics.payment_persistence,-0.27126099706744866
PDThreshold,dynamics.missed_delinquency,0.0531524926686217
PDThreshold,dynamics.payment_income_cap,-0.13746334310850436
PDThreshold,default.intercept,-0.014662756598240468
PDThreshold,default.utilization,-0.025293255131964804
PDThreshold,default.months_delinquent,-0.12866568914956011
PDThreshold,default.debt_to_income,-0.32624633431085037
PDThreshold,default.stress,-0.2745601173020527
PDThreshold,macro_onset,-0.20064144517495702
PDThreshold,macro_duration,-0.38879652120404185
PDThreshold,macro_recovery,0.04591509758590875
PDThreshold,macro_intensity,-0.6206011730205278
PPO,dynamics.spend_limit_elasticity,0.14552785923753664
PPO,dynamics.income_sigma,-0.2346041055718475
PPO,dynamics.payment_persistence,0.20857771260997066
PPO,dynamics.missed_delinquency,-0.018695014662756596
PPO,dynamics.payment_income_cap,0.23753665689149558
PPO,default.intercept,0.08027859237536657
PPO,default.utilization,-0.18841642228739003
PPO,default.months_delinquent,-0.13526392961876832
PPO,default.debt_to_income,-0.093841642228739
PPO,default.stress,0.16055718475073313
PPO,macro_onset,0.5630187921391453
PPO,macro_duration,0.16894467540089303
PPO,macro_recovery,0.11478774396477186
PPO,macro_intensity,-0.40799120234604097
PPO_without_PD,dynamics.spend_limit_elasticity,0.14552785923753664
PPO_without_PD,dynamics.income_sigma,-0.2346041055718475
PPO_without_PD,dynamics.payment_persistence,0.20857771260997066
PPO_without_PD,dynamics.missed_delinquency,-0.018695014662756596
PPO_without_PD,dynamics.payment_income_cap,0.23753665689149558
PPO_without_PD,default.intercept,0.08027859237536657
PPO_without_PD,default.utilization,-0.18841642228739003
PPO_without_PD,default.months_delinquent,-0.13526392961876832
PPO_without_PD,default.debt_to_income,-0.093841642228739
PPO_without_PD,default.stress,0.16055718475073313
PPO_without_PD,macro_onset,0.5630187921391453
PPO_without_PD,macro_duration,0.16894467540089303
PPO_without_PD,macro_recovery,0.11478774396477186
PPO_without_PD,macro_intensity,-0.40799120234604097
Random,dynamics.spend_limit_elasticity,0.1228005865102639
Random,dynamics.income_sigma,-0.36290322580645157
Random,dynamics.payment_persistence,0.027126099706744865
Random,dynamics.missed_delinquency,0.063049853372434
Random,dynamics.payment_income_cap,-0.15799120234604103
Random,default.intercept,-0.009530791788856303
Random,default.utilization,-0.08541055718475073
Random,default.months_delinquent,-0.0975073313782991
Random,default.debt_to_income,-0.22580645161290322
Random,default.stress,-0.05755131964809384
Random,macro_onset,-0.3075390572395463
Random,macro_duration,-0.5482310658704476
Random,macro_recovery,-0.1260783417317986
Random,macro_intensity,-0.7089442815249266
SIMULATOR_ONLY_ORACLE_Myopic,dynamics.spend_limit_elasticity,0.5670821114369501
SIMULATOR_ONLY_ORACLE_Myopic,dynamics.income_sigma,-0.26429618768328444
SIMULATOR_ONLY_ORACLE_Myopic,dynamics.payment_persistence,0.0531524926686217
SIMULATOR_ONLY_ORACLE_Myopic,dynamics.missed_delinquency,0.11510263929618768
SIMULATOR_ONLY_ORACLE_Myopic,dynamics.payment_income_cap,-0.1917155425219941
SIMULATOR_ONLY_ORACLE_Myopic,default.intercept,0.12353372434017595
SIMULATOR_ONLY_ORACLE_Myopic,default.utilization,-0.37866568914956006
SIMULATOR_ONLY_ORACLE_Myopic,default.months_delinquent,-0.05535190615835778
SIMULATOR_ONLY_ORACLE_Myopic,default.debt_to_income,-0.31891495601173014
SIMULATOR_ONLY_ORACLE_Myopic,default.stress,0.05828445747800586
SIMULATOR_ONLY_ORACLE_Myopic,macro_onset,-0.2499218001302096
SIMULATOR_ONLY_ORACLE_Myopic,macro_duration,-0.3261415422474193
SIMULATOR_ONLY_ORACLE_Myopic,macro_recovery,-0.2905447158714881
SIMULATOR_ONLY_ORACLE_Myopic,macro_intensity,-0.46847507331378296
Static,dynamics.spend_limit_elasticity,0.10777126099706744
Static,dynamics.income_sigma,-0.30315249266862165
Static,dynamics.payment_persistence,-0.1499266862170088
Static,dynamics.missed_delinquency,0.18951612903225803
Static,dynamics.payment_income_cap,-0.07881231671554251
Static,default.intercept,-0.059017595307917885
Static,default.utilization,-0.00659824046920821
Static,default.months_delinquent,-0.02785923753665689
Static,default.debt_to_income,-0.19868035190615835
Static,default.stress,-0.26136363636363635
Static,macro_onset,-0.474091835828915
Static,macro_duration,-0.6026812261541791
Static,macro_recovery,-0.1482831840069512
Static,macro_intensity,-0.5531524926686217
UtilizationPD,dynamics.spend_limit_elasticity,0.035557184750733134
UtilizationPD,dynamics.income_sigma,-0.21187683284457476
UtilizationPD,dynamics.payment_persistence,-0.2936217008797654
UtilizationPD,dynamics.missed_delinquency,0.003665689149560117
UtilizationPD,dynamics.payment_income_cap,-0.1389296187683284
UtilizationPD,default.intercept,-0.06231671554252198
UtilizationPD,default.utilization,0.018328445747800584
UtilizationPD,default.months_delinquent,-0.14002932551319647
UtilizationPD,default.debt_to_income,-0.3519061583577712
UtilizationPD,default.stress,-0.22910557184750727
UtilizationPD,macro_onset,-0.23250693785278953
UtilizationPD,macro_duration,-0.42086990328897955
UtilizationPD,macro_recovery,0.03725897263118824
UtilizationPD,macro_intensity,-0.597140762463343
