policy,mean,median,largest_oracle_gap,smallest_oracle_gap
AlwaysDecrease,-480.99664527278725,-455.1270026796326,23.601649015018552,-1115.2612784769572
AlwaysDecrease20,-634.3552678376648,-653.7702854617114,-60.419858858975886,-1165.464642400324
AlwaysIncrease,538.8546156375929,504.3455760683057,1178.6186599473954,168.11795458648885
MyopicEconomic,142.28803421311395,93.28052782974885,757.8516158462403,-183.3379408839562
PDThreshold,-285.96827896771094,-315.00105487101536,101.61565333399471,-765.0598752031258
PPO,-634.3552678376648,-653.7702854617114,-60.419858858975886,-1165.464642400324
PPO_without_PD,-634.3552678376648,-653.7702854617114,-60.419858858975886,-1165.464642400324
Random,187.09177456670372,137.19469439257375,682.0306749073864,-314.59521839170884
SIMULATOR_ONLY_ORACLE_Myopic,0.0,0.0,0.0,0.0
Static,339.1306352044299,316.56126970096625,784.9473956311083,-75.71128745403485
UtilizationPD,-273.2626392398212,-306.6201730528424,85.04875059657866,-742.9975520709909
