policy,policy_seed,world_id,world_kind,signal,seconds,steps,steps_per_second,policy_inference_ms
Static,-1,macro_early,macro,identity,2.192980199935846,807,367.9923786013245,0.0965521691650927
AlwaysDecrease,-1,macro_early,macro,identity,1.869607500033453,708,378.689109873239,0.0960170912903623
AlwaysDecrease20,-1,macro_early,macro,identity,1.655578100006096,587,354.55893019957114,0.0965538328780048
AlwaysIncrease,-1,macro_early,macro,identity,2.0999866999918595,835,397.6215658905063,0.093674011706949
Random,991,macro_early,macro,identity,1.9651426000054928,757,385.213775324948,0.140279522713131
PDThreshold,-1,macro_early,macro,identity,1.9481024999404328,730,374.7236092671311,0.0999599988636088
UtilizationPD,-1,macro_early,macro,identity,1.8589820999186488,720,387.3087320375533,0.1066931917901254
MyopicEconomic,-1,macro_early,macro,identity,2.1775509999133646,838,384.8359923755358,0.2852103829623905
SIMULATOR_ONLY_ORACLE_Myopic,-1,macro_early,macro,identity,5.117152499966323,838,163.7629521507352,2.8194692105317136
PPO,101,macro_early,macro,identity,1.907208599965088,587,307.779652425406,0.6044057927299069
PPO,202,macro_early,macro,identity,1.9983161999844012,587,293.7473058590938,0.6402023848593615
PPO,303,macro_early,macro,identity,1.874813699978404,587,313.09777606530275,0.6029103897286665
PPO,404,macro_early,macro,identity,1.950525799999013,587,300.9444940437583,0.617416355413031
PPO,505,macro_early,macro,identity,1.928244199953042,587,304.4220229026464,0.6131770046034374
PPO_without_PD,101,macro_early,macro,identity,1.8930737000191584,587,310.07773231124565,0.5992589468053927
PPO_without_PD,202,macro_early,macro,identity,1.9750095000490544,587,297.2137602302269,0.6137471860258806
PPO_without_PD,303,macro_early,macro,identity,1.9577674000756813,587,299.8313282657114,0.6170495690102015
PPO_without_PD,404,macro_early,macro,identity,1.957702900050208,587,299.841206745388,0.6203235123461998
PPO_without_PD,505,macro_early,macro,identity,1.8688203999772668,587,314.1018794567635,0.5695747873576095
Static,-1,macro_late,macro,identity,2.2227361999684945,908,408.5055167648191,0.0950121154110173
AlwaysDecrease,-1,macro_late,macro,identity,2.1590014999965206,898,415.9330134793548,0.0931013358408431
AlwaysDecrease20,-1,macro_late,macro,identity,2.0159640999045223,779,386.4156112883628,0.0933750972823647
AlwaysIncrease,-1,macro_late,macro,identity,2.307770900079049,1008,436.7851245396467,0.0910062488632291
Random,991,macro_late,macro,identity,2.12484659999609,889,418.3831435180478,0.1314671540421227
PDThreshold,-1,macro_late,macro,identity,2.227154200081713,911,409.0421758702544,0.0978849630682237
UtilizationPD,-1,macro_late,macro,identity,2.1582900000503287,900,416.9967891149999,0.1038808903346459
MyopicEconomic,-1,macro_late,macro,identity,2.5673237999435514,1044,406.6491340215655,0.2788051716863781
SIMULATOR_ONLY_ORACLE_Myopic,-1,macro_late,macro,identity,6.064500899985433,1044,172.1493684669925,2.759768390069962
PPO,101,macro_late,macro,identity,2.5283928000135347,779,308.1008615416995,0.6111261845220822
PPO,202,macro_late,macro,identity,2.3969283000333235,779,324.99929179741,0.5932319616427854
PPO,303,macro_late,macro,identity,2.6094609000720084,779,298.5290946411588,0.6557602082069518
PPO,404,macro_late,macro,identity,2.44475660007447,779,318.6411277001035,0.6120575105338638
PPO,505,macro_late,macro,identity,2.4349478000076488,779,319.92472282056843,0.6071214384216438
PPO_without_PD,101,macro_late,macro,identity,2.4380504000000656,779,319.51759487825973,0.6081387662150645
PPO_without_PD,202,macro_late,macro,identity,2.334764300030656,779,333.65252329315274,0.5924930659736075
PPO_without_PD,303,macro_late,macro,identity,2.43391350004822,779,320.06067593797667,0.6092833133894994
PPO_without_PD,404,macro_late,macro,identity,2.591102000093088,779,300.6442818430204,0.6289649553015942
PPO_without_PD,505,macro_late,macro,identity,2.461646000039764,779,316.45492487035773,0.6141839566878468
Static,-1,macro_prolonged,macro,identity,2.131107099936344,817,383.3688133385712,0.0924105267809884
AlwaysDecrease,-1,macro_prolonged,macro,identity,1.9429976999526843,782,402.4708830170222,0.0911176440191676
AlwaysDecrease20,-1,macro_prolonged,macro,identity,1.789701999980025,673,376.04025698552687,0.0964641921501745
AlwaysIncrease,-1,macro_prolonged,macro,identity,2.097696300013922,889,423.7982399998035,0.0918584922119069
Random,991,macro_prolonged,macro,identity,2.037443400011398,818,401.4835455038525,0.1359737186731365
PDThreshold,-1,macro_prolonged,macro,identity,2.0608667000196874,834,404.6841069303672,0.0970852499876877
UtilizationPD,-1,macro_prolonged,macro,identity,2.0460307999746874,823,402.2422340906021,0.1055053491846976
MyopicEconomic,-1,macro_prolonged,macro,identity,2.6155168000841518,936,357.86426604863914,0.2881823713059386
SIMULATOR_ONLY_ORACLE_Myopic,-1,macro_prolonged,macro,identity,5.895904800039716,934,158.4150408930803,3.0065169149104354
PPO,101,macro_prolonged,macro,identity,2.1860891999676824,673,307.85569043109,0.6138025274442129
PPO,202,macro_prolonged,macro,identity,2.126692699966952,673,316.45380642462266,0.5992624047592858
PPO,303,macro_prolonged,macro,identity,2.15649179997854,673,312.0809455462328,0.597536255450529
PPO,404,macro_prolonged,macro,identity,2.182558200089261,673,308.3537474384308,0.6175329865483681
PPO,505,macro_prolonged,macro,identity,2.028757599997334,673,331.7301189658559,0.5686839524916696
PPO_without_PD,101,macro_prolonged,macro,identity,2.29840620001778,673,292.8116013587127,0.6011722124711698
PPO_without_PD,202,macro_prolonged,macro,identity,2.2682637999532744,673,296.7027027517097,0.634528826098795
PPO_without_PD,303,macro_prolonged,macro,identity,2.169420800055377,673,310.22105069833424,0.6113699850118421
PPO_without_PD,404,macro_prolonged,macro,identity,2.1576053999597207,673,311.9198719156728,0.6097433896580321
PPO_without_PD,505,macro_prolonged,macro,identity,2.1051975999725983,673,319.68495499365946,0.6059161972055243
Static,-1,macro_slow_recovery,macro,identity,2.296240300056525,826,359.7184493189441,0.0989056878991551
AlwaysDecrease,-1,macro_slow_recovery,macro,identity,1.937110299943015,795,410.4051276911733,0.090699115440062
AlwaysDecrease20,-1,macro_slow_recovery,macro,identity,1.7590016999747604,680,386.5829123472463,0.0939998512074132
AlwaysIncrease,-1,macro_slow_recovery,macro,identity,2.1130400999682024,896,424.0335997473419,0.0916987725889027
Random,991,macro_slow_recovery,macro,identity,2.156466100015677,824,382.1066326959694,0.1381309443035895
PDThreshold,-1,macro_slow_recovery,macro,identity,1.9759195999940855,840,425.1185119083359,0.0951250015835588
UtilizationPD,-1,macro_slow_recovery,macro,identity,1.995388300041668,829,415.4579837832509,0.1023880606831755
MyopicEconomic,-1,macro_slow_recovery,macro,identity,2.7220395000185817,955,350.8398757598781,0.3040073271255686
SIMULATOR_ONLY_ORACLE_Myopic,-1,macro_slow_recovery,macro,identity,5.629049099981785,944,167.701503972146,2.863838983688827
PPO,101,macro_slow_recovery,macro,identity,2.123587700072676,680,320.21281719456573,0.6061597040731131
PPO,202,macro_slow_recovery,macro,identity,2.2628573999973014,680,300.5050163571116,0.63493353098987
PPO,303,macro_slow_recovery,macro,identity,2.239195399917662,680,303.6805095370437,0.6423217698123634
PPO,404,macro_slow_recovery,macro,identity,2.217944899923168,680,306.5901231466823,0.636338084244498
PPO,505,macro_slow_recovery,macro,identity,2.350602100021206,680,289.2875829532635,0.7151517660959679
PPO_without_PD,101,macro_slow_recovery,macro,identity,2.177210699999705,680,312.3262254774387,0.6318392642938039
PPO_without_PD,202,macro_slow_recovery,macro,identity,2.1047461999114603,680,323.0793337593888,0.6054007345536614
PPO_without_PD,303,macro_slow_recovery,macro,identity,2.149780199979432,680,316.3114070947839,0.6104527916142937
PPO_without_PD,404,macro_slow_recovery,macro,identity,2.126184800057672,680,319.8216824716061,0.6011589714462924
PPO_without_PD,505,macro_slow_recovery,macro,identity,2.1572597000049427,680,315.2147142963093,0.6064688271555283
Static,-1,macro_unexpected,macro,identity,1.961480100057088,826,421.1105684814033,0.0932363199338443
AlwaysDecrease,-1,macro_unexpected,macro,identity,1.8949951999820769,770,406.3334830649084,0.0938036380783207
AlwaysDecrease20,-1,macro_unexpected,macro,identity,1.9426111999200657,707,363.9431297570464,0.0991247534419935
AlwaysIncrease,-1,macro_unexpected,macro,identity,2.235684199957177,923,412.8490061421373,0.0957222092888627
Random,991,macro_unexpected,macro,identity,2.216464600060135,805,363.1910024541603,0.1363803739572719
PDThreshold,-1,macro_unexpected,macro,identity,1.979347000014968,808,408.2154367040694,0.0960618817411123
UtilizationPD,-1,macro_unexpected,macro,identity,2.141185200074688,808,377.3610988773021,0.1122706685282087
MyopicEconomic,-1,macro_unexpected,macro,identity,2.482973799924366,959,386.2304145252005,0.2853723686689567
SIMULATOR_ONLY_ORACLE_Myopic,-1,macro_unexpected,macro,identity,5.666789600043558,957,168.87868926572534,2.7789174463033537
PPO,101,macro_unexpected,macro,identity,2.30877700005658,707,306.22273176780345,0.6306973128557163
PPO,202,macro_unexpected,macro,identity,2.233868599985726,707,316.4913101892016,0.6127268753687639
PPO,303,macro_unexpected,macro,identity,2.4710019000340253,707,286.11876016374765,0.6190995762158907
PPO,404,macro_unexpected,macro,identity,2.2525819999864325,707,313.86204808715434,0.6049927865791291
PPO,505,macro_unexpected,macro,identity,2.511113699991256,707,281.54838229844466,0.6735073572124817
PPO_without_PD,101,macro_unexpected,macro,identity,2.26659859996289,707,311.92113151908563,0.621377795907014
PPO_without_PD,202,macro_unexpected,macro,identity,2.2869720000308007,707,309.1423943933193,0.6300147082406338
PPO_without_PD,303,macro_unexpected,macro,identity,2.419045299990102,707,292.26405971103253,0.6751186718908698
PPO_without_PD,404,macro_unexpected,macro,identity,2.188625800074078,707,323.0337502080393,0.5920086297387049
PPO_without_PD,505,macro_unexpected,macro,identity,2.3562941000564024,707,300.0474346487888,0.5889861374208243
Static,-1,macro_unexpected,macro,pd_flat,2.036239600041881,826,405.6497084051459,0.0916256639231492
AlwaysDecrease,-1,macro_unexpected,macro,pd_flat,1.9211204999592155,770,400.80775777279285,0.0908094816599283
AlwaysDecrease20,-1,macro_unexpected,macro,pd_flat,1.807483799988404,707,391.1515002261906,0.094251203827581
AlwaysIncrease,-1,macro_unexpected,macro,pd_flat,2.293352600070648,923,402.4675490247625,0.0902366196839613
Random,991,macro_unexpected,macro,pd_flat,2.0505806000437587,805,392.5717428433789,0.1316252184788817
PDThreshold,-1,macro_unexpected,macro,pd_flat,2.189930099993944,808,368.9615481344516,0.0965327991513849
UtilizationPD,-1,macro_unexpected,macro,pd_flat,1.975845400011167,808,408.9388775029835,0.1020997508813968
MyopicEconomic,-1,macro_unexpected,macro,pd_flat,2.6933243999956176,959,356.06553744567884,0.3130964558994993
SIMULATOR_ONLY_ORACLE_Myopic,-1,macro_unexpected,macro,pd_flat,5.900362699991092,956,162.02393795239797,2.9678643292895512
PPO,101,macro_unexpected,macro,pd_flat,2.285480699967593,707,309.3441130393378,0.6382613881824398
PPO,202,macro_unexpected,macro,pd_flat,2.2375260000117123,707,315.97398197665603,0.6191772278701252
PPO,303,macro_unexpected,macro,pd_flat,2.2256579999811947,707,317.6588676274493,0.6049901006290165
PPO,404,macro_unexpected,macro,pd_flat,2.612628699978813,707,270.60867853351425,0.7030671856615065
PPO,505,macro_unexpected,macro,pd_flat,2.261841899948194,707,312.5771080711668,0.6252100424119172
PPO_without_PD,101,macro_unexpected,macro,pd_flat,2.17701930005569,707,324.75596334029484,0.6032041033606086
PPO_without_PD,202,macro_unexpected,macro,pd_flat,2.3506114999763668,707,300.77279891088267,0.6378466766288101
PPO_without_PD,303,macro_unexpected,macro,pd_flat,2.265952499932609,707,312.01007082938696,0.6463118836078187
PPO_without_PD,404,macro_unexpected,macro,pd_flat,2.243061100016348,707,315.1942673317491,0.6449381885733956
PPO_without_PD,505,macro_unexpected,macro,pd_flat,2.27526200003922,707,310.7334451978775,0.6285718532840299
Static,-1,macro_unexpected,macro,pd_lag,1.9927238000091163,826,414.5080216316085,0.0931253039715563
AlwaysDecrease,-1,macro_unexpected,macro,pd_lag,1.9427947000367567,770,396.33626753533554,0.0954168816943737
