policy,reference,win_frequency,tie_frequency,worlds
AlwaysDecrease,AlwaysDecrease20,0.125,0.0,32
AlwaysDecrease,AlwaysIncrease,1.0,0.0,32
AlwaysDecrease,MyopicEconomic,1.0,0.0,32
AlwaysDecrease,PDThreshold,0.875,0.0,32
AlwaysDecrease,PPO,0.125,0.0,32
AlwaysDecrease,PPO_without_PD,0.125,0.0,32
AlwaysDecrease,Random,1.0,0.0,32
AlwaysDecrease,Static,1.0,0.0,32
AlwaysDecrease,UtilizationPD,0.84375,0.0,32
AlwaysDecrease20,AlwaysDecrease,0.875,0.0,32
AlwaysDecrease20,AlwaysIncrease,1.0,0.0,32
AlwaysDecrease20,MyopicEconomic,1.0,0.0,32
AlwaysDecrease20,PDThreshold,0.90625,0.0,32
AlwaysDecrease20,PPO,0.0,1.0,32
AlwaysDecrease20,PPO_without_PD,0.0,1.0,32
AlwaysDecrease20,Random,1.0,0.0,32
AlwaysDecrease20,Static,1.0,0.0,32
AlwaysDecrease20,UtilizationPD,0.90625,0.0,32
AlwaysIncrease,AlwaysDecrease,0.0,0.0,32
AlwaysIncrease,AlwaysDecrease20,0.0,0.0,32
AlwaysIncrease,MyopicEconomic,0.0,0.0,32
AlwaysIncrease,PDThreshold,0.0,0.0,32
AlwaysIncrease,PPO,0.0,0.0,32
AlwaysIncrease,PPO_without_PD,0.0,0.0,32
AlwaysIncrease,Random,0.0625,0.0,32
AlwaysIncrease,Static,0.15625,0.0,32
AlwaysIncrease,UtilizationPD,0.0,0.0,32
MyopicEconomic,AlwaysDecrease,0.0,0.0,32
MyopicEconomic,AlwaysDecrease20,0.0,0.0,32
MyopicEconomic,AlwaysIncrease,1.0,0.0,32
MyopicEconomic,PDThreshold,0.0,0.0,32
MyopicEconomic,PPO,0.0,0.0,32
MyopicEconomic,PPO_without_PD,0.0,0.0,32
MyopicEconomic,Random,0.5,0.0,32
MyopicEconomic,Static,0.90625,0.0,32
MyopicEconomic,UtilizationPD,0.0,0.0,32
PDThreshold,AlwaysDecrease,0.125,0.0,32
PDThreshold,AlwaysDecrease20,0.09375,0.0,32
PDThreshold,AlwaysIncrease,1.0,0.0,32
PDThreshold,MyopicEconomic,1.0,0.0,32
PDThreshold,PPO,0.09375,0.0,32
PDThreshold,PPO_without_PD,0.09375,0.0,32
PDThreshold,Random,1.0,0.0,32
PDThreshold,Static,1.0,0.0,32
PDThreshold,UtilizationPD,0.53125,0.0,32
PPO,AlwaysDecrease,0.875,0.0,32
PPO,AlwaysDecrease20,0.0,1.0,32
PPO,AlwaysIncrease,1.0,0.0,32
PPO,MyopicEconomic,1.0,0.0,32
PPO,PDThreshold,0.90625,0.0,32
PPO,PPO_without_PD,0.0,1.0,32
PPO,Random,1.0,0.0,32
PPO,Static,1.0,0.0,32
PPO,UtilizationPD,0.90625,0.0,32
PPO_without_PD,AlwaysDecrease,0.875,0.0,32
PPO_without_PD,AlwaysDecrease20,0.0,1.0,32
PPO_without_PD,AlwaysIncrease,1.0,0.0,32
PPO_without_PD,MyopicEconomic,1.0,0.0,32
PPO_without_PD,PDThreshold,0.90625,0.0,32
PPO_without_PD,PPO,0.0,1.0,32
PPO_without_PD,Random,1.0,0.0,32
PPO_without_PD,Static,1.0,0.0,32
PPO_without_PD,UtilizationPD,0.90625,0.0,32
Random,AlwaysDecrease,0.0,0.0,32
Random,AlwaysDecrease20,0.0,0.0,32
Random,AlwaysIncrease,0.9375,0.0,32
Random,MyopicEconomic,0.5,0.0,32
Random,PDThreshold,0.0,0.0,32
Random,PPO,0.0,0.0,32
Random,PPO_without_PD,0.0,0.0,32
Random,Static,0.90625,0.0,32
Random,UtilizationPD,0.0,0.0,32
Static,AlwaysDecrease,0.0,0.0,32
Static,AlwaysDecrease20,0.0,0.0,32
Static,AlwaysIncrease,0.84375,0.0,32
Static,MyopicEconomic,0.09375,0.0,32
Static,PDThreshold,0.0,0.0,32
Static,PPO,0.0,0.0,32
Static,PPO_without_PD,0.0,0.0,32
Static,Random,0.09375,0.0,32
Static,UtilizationPD,0.0,0.0,32
UtilizationPD,AlwaysDecrease,0.15625,0.0,32
UtilizationPD,AlwaysDecrease20,0.09375,0.0,32
UtilizationPD,AlwaysIncrease,1.0,0.0,32
UtilizationPD,MyopicEconomic,1.0,0.0,32
UtilizationPD,PDThreshold,0.46875,0.0,32
UtilizationPD,PPO,0.09375,0.0,32
UtilizationPD,PPO_without_PD,0.09375,0.0,32
UtilizationPD,Random,1.0,0.0,32
UtilizationPD,Static,1.0,0.0,32
